¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
’(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.722484
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.9838
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.240024
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.51693
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.817071
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.172381
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.617056
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.115906
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.67603
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.31049
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.0616
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.88042
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.61661
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.66329
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.88691
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.33611
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.04473
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.91184
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.01076
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.050195
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.255604
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.476449
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.722868
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.967055
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.221962
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.497392
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.795875
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.169105
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.613888
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.112347
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.671336
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.32022
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.05764
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.8929
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.62804
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.67662
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.90256
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.35476
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.07172
