¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ş(324.58, 7.19, 394.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.62237
(324.58, 7.19, 394.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.93968
(324.58, 7.19, 394.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.38273
(324.58, 7.19, 394.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.83019
(324.58, 7.19, 394.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.49552
(324.58, 7.19, 394.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.74833
(324.58, 7.19, 394.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.95736
(324.58, 7.19, 394.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.83361
(324.58, 7.19, 394.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.033581
(324.58, 7.19, 394.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.249672
(324.58, 7.19, 394.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.482821
(324.58, 7.19, 394.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.257172
(324.58, 7.19, 394.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.652
(324.58, 7.19, 394.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.093538
(324.58, 7.19, 394.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.286533
(324.58, 7.19, 394.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.401949
(324.58, 7.19, 394.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.891319
(324.58, 7.19, 394.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.414116
(324.58, 7.19, 394.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.98197
(324.58, 7.19, 394.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.39991
(324.58, 7.19, 394.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.85607
(324.58, 7.19, 394.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.62659
(324.58, 7.19, 394.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.64316
(324.58, 7.19, 394.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.97731
(324.58, 7.19, 394.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.398
(324.58, 7.19, 394.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.79035
(324.58, 7.19, 394.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.49931
(324.58, 7.19, 394.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.77883
(324.58, 7.19, 394.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.99891
(324.58, 7.19, 394.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.835424
(324.58, 7.19, 394.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.035853
(324.58, 7.19, 394.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.25212
(324.58, 7.19, 394.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.485465
(324.58, 7.19, 394.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.237676
(324.58, 7.19, 394.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.630252
(324.58, 7.19, 394.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.069142
(324.58, 7.19, 394.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.478138
(324.58, 7.19, 394.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.519655
(324.58, 7.19, 394.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.89777
(324.58, 7.19, 394.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.42137
(324.58, 7.19, 394.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.957747
(324.58, 7.19, 394.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.37355
(324.58, 7.19, 394.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.83698
(324.58, 7.19, 394.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.61308
(324.58, 7.19, 394.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.66311
(324.58, 7.19, 394.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.99197
(324.58, 7.19, 394.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.4133
(324.58, 7.19, 394.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.75171
(324.58, 7.19, 394.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.50301
(324.58, 7.19, 394.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.78031
(324.58, 7.19, 394.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.55069
ƒ(324.58, 7.19, 394.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.837251
