¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ª(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.01788
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.41653
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.43862
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.0202
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.80973
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.45629
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.35057
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 15.5702
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 14.17439
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.92813
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.91466
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 14.03616
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.98953
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.97939
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.97071
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.91047
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.94265
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.9837
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 14.03435
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 14.09432
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 14.15692
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.031731
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.242171
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.469445
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.714933
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.980869
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.269869
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.146132
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.706801
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.281805
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.620105
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.985597
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.38151
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.33194
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.88183
