¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¥(327.24, 7.31, 384.13) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 22.25694
(327.24, 7.31, 384.13) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 22.24479
(327.24, 7.31, 384.13) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 22.23597
(327.24, 7.31, 384.13) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 22.23048
(327.24, 7.31, 384.13) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 22.2283
(327.24, 7.31, 384.13) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 22.18038
(327.24, 7.31, 384.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.265625
(327.24, 7.31, 384.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.487244
(327.24, 7.31, 384.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.726184
(327.24, 7.31, 384.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.984453
(327.24, 7.31, 384.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.264464
(327.24, 7.31, 384.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.566353
(327.24, 7.31, 384.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.872684
(327.24, 7.31, 384.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.218685
(327.24, 7.31, 384.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.637602
(327.24, 7.31, 384.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.074727
(327.24, 7.31, 384.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.546991
(327.24, 7.31, 384.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.07269
(327.24, 7.31, 384.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.69747
(327.24, 7.31, 384.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.42733
(327.24, 7.31, 384.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.13088
(327.24, 7.31, 384.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.84007
(327.24, 7.31, 384.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.6246
(327.24, 7.31, 384.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.53673
(327.24, 7.31, 384.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.22575
(327.24, 7.31, 384.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.36415
(327.24, 7.31, 384.13) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 22.43384
(327.24, 7.31, 384.13) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 22.40815
(327.24, 7.31, 384.13) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 22.38586
(327.24, 7.31, 384.13) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 22.36694
(327.24, 7.31, 384.13) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 22.35139
(327.24, 7.31, 384.13) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 22.33919
(327.24, 7.31, 384.13) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 22.33035
(327.24, 7.31, 384.13) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 22.32483
(327.24, 7.31, 384.13) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 22.32265
(327.24, 7.31, 384.13) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 22.27453
(327.24, 7.31, 384.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.265526
(327.24, 7.31, 384.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.487147
(327.24, 7.31, 384.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.726069
(327.24, 7.31, 384.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.984324
(327.24, 7.31, 384.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.264343
(327.24, 7.31, 384.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.554005
(327.24, 7.31, 384.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.859275
(327.24, 7.31, 384.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.195194
(327.24, 7.31, 384.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.6116
