¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ø(330.09, 7.38, 372.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.6518
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.498853
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.41763
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.412765
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.408715
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.405478
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.40305
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.401431
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.400617
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.40061
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.40141
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.997571
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.962942
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.932626
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.903875
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.876517
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.854715
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.83427
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.818915
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.805256
