¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.132934
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.41006
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.711071
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.02463
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.365801
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.738634
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.147696
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.598388
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.09743
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.63509
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.21903
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.87075
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.60486
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.43792
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.39119
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.42733
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.49286
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.67784
(336.48, 7.68, 345.18) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 16.27587
(336.48, 7.68, 345.18) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 16.24821
(336.48, 7.68, 345.18) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 16.22307
(336.48, 7.68, 345.18) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 16.20042
(336.48, 7.68, 345.18) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 16.18024
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.207487
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.412698
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.632929
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.870741
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.127662
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.405673
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.704813
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.020334
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.361124
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.733509
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.14206
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.592185
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.08836
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.62431
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.21176
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.86264
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.59568
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.42748
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.37914
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.39186
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.45228
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.70202
(336.48, 7.68, 345.18) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 15.90169
(336.48, 7.68, 345.18) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 15.87496
(336.48, 7.68, 345.18) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 15.85069
(336.48, 7.68, 345.18) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 15.82884
(336.48, 7.68, 345.18) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 15.80942
(336.48, 7.68, 345.18) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 16.51654
œ(336.48, 7.68, 345.18) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 16.97279
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.202576
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.408408
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.629382
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.867236
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.123841
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.401528
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.698628
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.016181
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.356562
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.728535
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.136574
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.586157
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.07888
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.61377
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.20486
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.85486
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.5869
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.41748
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.36768
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.35739
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.41283
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.66791
(336.48, 7.68, 345.18) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 15.9079
(336.48, 7.68, 345.18) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 15.74941
(336.48, 7.68, 345.18) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 15.73062
(336.48, 7.68, 345.18) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 15.76424
(336.48, 7.68, 345.18) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 15.90155
(336.48, 7.68, 345.18) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 15.99267
(336.48, 7.68, 345.18) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 16.04411
(336.48, 7.68, 345.18) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 16.84664
(336.48, 7.68, 345.18) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 16.84167
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.199752
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.405402
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.626153
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.863725
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.120075
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.397469
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.692559
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.011181
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.352137
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.723686
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.131272
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.580271
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.06962
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.60349
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.19826
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.84748
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.57855
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.40795
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.35676
