¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
È(337.04, 7.66, 343.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.39877
(337.04, 7.66, 343.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.71623
(337.04, 7.66, 343.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.04688
(337.04, 7.66, 343.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.39156
(337.04, 7.66, 343.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.75101
(337.04, 7.66, 343.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.057009
(337.04, 7.66, 343.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.267473
(337.04, 7.66, 343.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.494112
(337.04, 7.66, 343.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.734234
(337.04, 7.66, 343.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.446125
(337.04, 7.66, 343.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.734494
(337.04, 7.66, 343.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.047325
(337.04, 7.66, 343.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.38786
(337.04, 7.66, 343.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.759881
(337.04, 7.66, 343.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.167823
(337.04, 7.66, 343.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.617086
(337.04, 7.66, 343.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.1143
(337.04, 7.66, 343.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.50322
(337.04, 7.66, 343.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.61357
(337.04, 7.66, 343.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.24557
(337.04, 7.66, 343.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.90614
(337.04, 7.66, 343.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.60187
(337.04, 7.66, 343.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.3908
(337.04, 7.66, 343.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.29101
(337.04, 7.66, 343.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.34777
(337.04, 7.66, 343.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.21668
(337.04, 7.66, 343.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.9493
(337.04, 7.66, 343.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.64892
(337.04, 7.66, 343.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.06691
(337.04, 7.66, 343.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.50702
(337.04, 7.66, 343.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.97099
(337.04, 7.66, 343.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.43337
(337.04, 7.66, 343.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.752
(337.04, 7.66, 343.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.08396
(337.04, 7.66, 343.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.42997
(337.04, 7.66, 343.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.79084
(337.04, 7.66, 343.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.045066
(337.04, 7.66, 343.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.254632
(337.04, 7.66, 343.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.480107
(337.04, 7.66, 343.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.719112
(337.04, 7.66, 343.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.977506
(337.04, 7.66, 343.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.715035
