¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
»(338.31, 7.61, 338.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.13905
(338.31, 7.61, 338.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.82707
(338.31, 7.61, 338.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.27271
(338.31, 7.61, 338.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.57428
(338.31, 7.61, 338.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.87442
(338.31, 7.61, 338.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.18822
(338.31, 7.61, 338.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.51666
(338.31, 7.61, 338.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.84364
(338.31, 7.61, 338.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.12481
(338.31, 7.61, 338.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.68745
(338.31, 7.61, 338.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.49105
(338.31, 7.61, 338.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.725526
(338.31, 7.61, 338.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.920652
(338.31, 7.61, 338.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.130493
(338.31, 7.61, 338.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.35674
(338.31, 7.61, 338.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.601349
(338.31, 7.61, 338.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.866602
(338.31, 7.61, 338.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.155178
(338.31, 7.61, 338.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.470238
(338.31, 7.61, 338.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.815538
(338.31, 7.61, 338.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.195415
(338.31, 7.61, 338.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.614824
(338.31, 7.61, 338.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.077565
(338.31, 7.61, 338.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.579836
(338.31, 7.61, 338.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.14173
(338.31, 7.61, 338.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.75779
(338.31, 7.61, 338.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.357
(338.31, 7.61, 338.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.57363
(338.31, 7.61, 338.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.16797
(338.31, 7.61, 338.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.80835
(338.31, 7.61, 338.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.49813
(338.31, 7.61, 338.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.12564
(338.31, 7.61, 338.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.81241
(338.31, 7.61, 338.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.34814
(338.31, 7.61, 338.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.63763
(338.31, 7.61, 338.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.94016
(338.31, 7.61, 338.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.25648
(338.31, 7.61, 338.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.58756
(338.31, 7.61, 338.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.9343
(338.31, 7.61, 338.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.22893
(338.31, 7.61, 338.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.98994
(338.31, 7.61, 338.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.88151
(338.31, 7.61, 338.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.712507
(338.31, 7.61, 338.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.906671
(338.31, 7.61, 338.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.115442
(338.31, 7.61, 338.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.340494
(338.31, 7.61, 338.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.583763
(338.31, 7.61, 338.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.847505
(338.31, 7.61, 338.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.134373
