¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
é(338.16, 7.47, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.906129
(338.16, 7.47, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.46523
(338.16, 7.47, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.00415
(338.16, 7.47, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.60344
(338.16, 7.47, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.27369
(338.16, 7.47, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.95539
(338.16, 7.47, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.67582
(338.16, 7.47, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.57734
(338.16, 7.47, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.53002
(338.16, 7.47, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.95535
(338.16, 7.47, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.50528
(338.16, 7.47, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.55563
(338.16, 7.47, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.16327
(338.16, 7.47, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.574924
(338.16, 7.47, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.761108
(338.16, 7.47, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.961078
(338.16, 7.47, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.176384
(338.16, 7.47, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.408819
(338.16, 7.47, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.124691
(338.16, 7.47, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.417013
(338.16, 7.47, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.735586
(338.16, 7.47, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.083986
(338.16, 7.47, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.466614
(338.16, 7.47, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.888619
(338.16, 7.47, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.356383
(338.16, 7.47, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.877695
(338.16, 7.47, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.42827
(338.16, 7.47, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.95639
(338.16, 7.47, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.55024
(338.16, 7.47, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.2141
