¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ó(334.00, 7.01, 313.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.055316
(334.00, 7.01, 313.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.580547
(334.00, 7.01, 313.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.180511
(334.00, 7.01, 313.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.83856
(334.00, 7.01, 313.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.57409
(334.00, 7.01, 313.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.49983
(334.00, 7.01, 313.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.72893
(334.00, 7.01, 313.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 14.5385
(334.00, 7.01, 313.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 17.9011
(334.00, 7.01, 313.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.1742
(334.00, 7.01, 313.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.158617
(334.00, 7.01, 313.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.320473
(334.00, 7.01, 313.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.49597
(334.00, 7.01, 313.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.689485
(334.00, 7.01, 313.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.898036
(334.00, 7.01, 313.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.123408
(334.00, 7.01, 313.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.365886
(334.00, 7.01, 313.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.626914
(334.00, 7.01, 313.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.918278
(334.00, 7.01, 313.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.237571
(334.00, 7.01, 313.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.617584
(334.00, 7.01, 313.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.084493
(334.00, 7.01, 313.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.613745
(334.00, 7.01, 313.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.21862
(334.00, 7.01, 313.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.861204
(334.00, 7.01, 313.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.61543
(334.00, 7.01, 313.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.56294
(334.00, 7.01, 313.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.81996
(334.00, 7.01, 313.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 14.68809
(334.00, 7.01, 313.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 18.13867
(334.00, 7.01, 313.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.90823
