¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 14.35971
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 17.56264
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.46799
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.19247
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.152217
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.326359
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.513535
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.71523
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.930502
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.168069
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.426464
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.708499
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.037127
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.440591
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.860986
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.326035
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.868896
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.517813
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.30376
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.2787
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.5697
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 14.43033
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 17.66044
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.42122
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.17733
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.158347
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.332939
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.520616
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.722869
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.939176
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.177488
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.436725
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.719718
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.048766
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.448785
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.863879
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.329289
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.881395
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.22987
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.06914
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.16696
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.84233
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 14.4999
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 17.75551
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.37468
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.15596
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.16451
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.339556
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.527737
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.730553
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.947896
à(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.186957
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.447042
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.731002
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.060305
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.451321
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.866716
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.98734
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.573572
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.2586
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.09767
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.22762
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.69668
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 14.56835
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.8518
