¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ø(360.37, 8.81, 319.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.523822
(360.37, 8.81, 319.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.730075
(360.37, 8.81, 319.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.953274
(360.37, 8.81, 319.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.195563
(360.37, 8.81, 319.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.459381
(360.37, 8.81, 319.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.719327
(360.37, 8.81, 319.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.9921
(360.37, 8.81, 319.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.289102
(360.37, 8.81, 319.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.770069
(360.37, 8.81, 319.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.33491
(360.37, 8.81, 319.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.989789
(360.37, 8.81, 319.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.817322
(360.37, 8.81, 319.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.90085
(360.37, 8.81, 319.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.14532
(360.37, 8.81, 319.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.18733
(360.37, 8.81, 319.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.38193
(360.37, 8.81, 319.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.58445
(360.37, 8.81, 319.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.81437
(360.37, 8.81, 319.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.0477
(360.37, 8.81, 319.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.2712
(360.37, 8.81, 319.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.50415
(360.37, 8.81, 319.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.74707
(360.37, 8.81, 319.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.00055
(360.37, 8.81, 319.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.30954
