¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¾ (409.93, 12.57, 332.33) (426.17, 11.69, 304.81) (8.74, 8.42, 13.47) Truck 9.979362
(409.93, 12.57, 332.33) (426.17, 11.69, 304.81) (8.74, 8.42, 13.47) Truck 9.96623
(409.93, 12.57, 332.33) (426.17, 11.69, 304.81) (8.74, 8.42, 13.47) Truck 9.954618
(409.93, 12.57, 332.33) (426.17, 11.69, 304.81) (8.74, 8.42, 13.47) Truck 9.944514
(409.93, 12.57, 332.33) (426.17, 11.69, 304.81) (8.74, 8.42, 13.47) Truck 9.935913
(409.93, 12.57, 332.33) (426.17, 11.69, 304.81) (8.74, 8.42, 13.47) Truck 9.928805
(409.93, 12.57, 332.33) (426.17, 11.69, 304.81) (8.74, 8.42, 13.47) Truck 9.923191
(409.93, 12.57, 332.33) (426.17, 11.69, 304.81) (8.74, 8.42, 13.47) Truck 9.919063
(409.93, 12.57, 332.33) (426.17, 11.69, 304.81) (8.74, 8.42, 13.47) Truck 9.916415
(409.93, 12.57, 332.33) (426.17, 11.69, 304.81) (8.74, 8.42, 13.47) Truck 11.97014
(409.93, 12.57, 332.33) (426.17, 11.69, 304.81) (8.74, 8.42, 13.47) Truck 11.98328
(409.93, 12.57, 332.33) (426.17, 11.69, 304.81) (8.74, 8.42, 13.47) Truck 11.99824
(409.93, 12.57, 332.33) (426.17, 11.69, 304.81) (8.74, 8.42, 13.47) Truck 12.01504
(409.93, 12.57, 332.33) (426.17, 11.69, 304.81) (8.74, 8.42, 13.47) Truck 12.03368
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.649418
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.996008
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.37676
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.797044
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.273244
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.817821
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.43195
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.08972
(409.93, 12.57, 332.33) (426.17, 11.69, 304.81) (8.74, 8.42, 13.47) Truck 10.08141
(409.93, 12.57, 332.33) (426.17, 11.69, 304.81) (8.74, 8.42, 13.47) Truck 10.06676
(409.93, 12.57, 332.33) (426.17, 11.69, 304.81) (8.74, 8.42, 13.47) Truck 10.05366
(409.93, 12.57, 332.33) (426.17, 11.69, 304.81) (8.74, 8.42, 13.47) Truck 10.04208
(409.93, 12.57, 332.33) (426.17, 11.69, 304.81) (8.74, 8.42, 13.47) Truck 10.03203
(409.93, 12.57, 332.33) (426.17, 11.69, 304.81) (8.74, 8.42, 13.47) Truck 10.02349
(409.93, 12.57, 332.33) (426.17, 11.69, 304.81) (8.74, 8.42, 13.47) Truck 10.01646
(409.93, 12.57, 332.33) (426.17, 11.69, 304.81) (8.74, 8.42, 13.47) Truck 10.01093
(409.93, 12.57, 332.33) (426.17, 11.69, 304.81) (8.74, 8.42, 13.47) Truck 10.0069
(409.93, 12.57, 332.33) (426.17, 11.69, 304.81) (8.74, 8.42, 13.47) Truck 10.00437
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.629227
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.973831
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.352377
