¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
‘(415.01, 13.11, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.12312
(415.01, 13.11, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.2897
(415.01, 13.11, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.66757
(415.01, 13.11, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.31885
(415.01, 13.11, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.62103
(415.01, 13.11, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.40636
(415.01, 13.11, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.545264
(415.01, 13.11, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.818027
(415.01, 13.11, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.136189
(415.01, 13.11, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.482633
(415.01, 13.11, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.889008
(415.01, 13.11, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.484187
(415.01, 13.11, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.22307
(415.01, 13.11, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.99184
(415.01, 13.11, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.61754
(415.01, 13.11, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.32071
(415.01, 13.11, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.1166
(415.01, 13.11, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.05492
(415.01, 13.11, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.25487
(415.01, 13.11, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.44462
(415.01, 13.11, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.85032
(415.01, 13.11, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.54235
(415.01, 13.11, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.92892
(415.01, 13.11, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.77672
(415.01, 13.11, 330.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.565237
