¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ä(417.03, 13.24, 329.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 22.12193
(417.03, 13.24, 329.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 22.1192
(417.03, 13.24, 329.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 22.12986
(417.03, 13.24, 329.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 22.14385
(417.03, 13.24, 329.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 22.16116
(417.03, 13.24, 329.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.105948
(417.03, 13.24, 329.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.488108
(417.03, 13.24, 329.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.905344
(417.03, 13.24, 329.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.22126
(417.03, 13.24, 329.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.53039
(417.03, 13.24, 329.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.86044
(417.03, 13.24, 329.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.21364
(417.03, 13.24, 329.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.53526
(417.03, 13.24, 329.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.85753
(417.03, 13.24, 329.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.06211
(417.03, 13.24, 329.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.27573
(417.03, 13.24, 329.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.49894
(417.03, 13.24, 329.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.73237
(417.03, 13.24, 329.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.97665
(417.03, 13.24, 329.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.2325
(417.03, 13.24, 329.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.50041
(417.03, 13.24, 329.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.81476
(417.03, 13.24, 329.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.26459
(417.03, 13.24, 329.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.74692
(417.03, 13.24, 329.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.25601
(417.03, 13.24, 329.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.18043
(417.03, 13.24, 329.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 22.15752
(417.03, 13.24, 329.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 22.16164
(417.03, 13.24, 329.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 22.15895
(417.03, 13.24, 329.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 22.16969
(417.03, 13.24, 329.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 22.18374
(417.03, 13.24, 329.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 22.20114
(417.03, 13.24, 329.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.105541
(417.03, 13.24, 329.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.487701
(417.03, 13.24, 329.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.904888
(417.03, 13.24, 329.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.22764
(417.03, 13.24, 329.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.5372
(417.03, 13.24, 329.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.86775
(417.03, 13.24, 329.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.22142
(417.03, 13.24, 329.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.57397
(417.03, 13.24, 329.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.89145
(417.03, 13.24, 329.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.0973
(417.03, 13.24, 329.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.31231
(417.03, 13.24, 329.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.53698
(417.03, 13.24, 329.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.77195
(417.03, 13.24, 329.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.01785
(417.03, 13.24, 329.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.27545
(417.03, 13.24, 329.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.54549
(417.03, 13.24, 329.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.87574
(417.03, 13.24, 329.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.31588
(417.03, 13.24, 329.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.78563
È(417.03, 13.24, 329.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.28965
(417.03, 13.24, 329.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.21257
(417.03, 13.24, 329.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 22.20061
