¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¨ (418.43, 13.43, 327.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.73861
(418.43, 13.43, 327.31) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 14.48954
(418.43, 13.43, 327.31) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 14.54513
(418.43, 13.43, 327.31) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 14.55278
(418.43, 13.43, 327.31) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 14.56262
(418.43, 13.43, 327.31) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 14.57465
(418.43, 13.43, 327.31) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 14.58887
(418.43, 13.43, 327.31) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 14.60531
(418.43, 13.43, 327.31) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 14.62397
(418.43, 13.43, 327.31) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 14.64487
(418.43, 13.43, 327.31) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 4.403632
(418.43, 13.43, 327.31) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 4.40454
(418.43, 13.43, 327.31) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 4.406106
(418.43, 13.43, 327.31) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 4.421709
(418.43, 13.43, 327.31) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 4.442714
(418.43, 13.43, 327.31) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 4.464589
(418.43, 13.43, 327.31) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 4.487354
(418.43, 13.43, 327.31) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 4.511028
