¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
‚ (419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.07032
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.19213
(419.43, 13.71, 325.69) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 8.608168
(419.43, 13.71, 325.69) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 8.60533
(419.43, 13.71, 325.69) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 8.603778
(419.43, 13.71, 325.69) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 8.60351
(419.43, 13.71, 325.69) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 8.604525
(419.43, 13.71, 325.69) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 8.606827
(419.43, 13.71, 325.69) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 8.610415
(419.43, 13.71, 325.69) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 8.615294
(419.43, 13.71, 325.69) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 8.621464
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.91204
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.55184
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.17988
(419.43, 13.71, 325.69) (429.26, 7.40, 296.44) (1.53, 1.04, 0.98) Fence 20.56241
(419.43, 13.71, 325.69) (429.26, 7.40, 296.44) (1.53, 1.04, 0.98) Fence 20.73759
(419.43, 13.71, 325.69) (429.26, 7.40, 296.44) (1.53, 1.04, 0.98) Fence 20.91894
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.690683
(419.43, 13.71, 325.69) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 8.706949
(419.43, 13.71, 325.69) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 8.705791
(419.43, 13.71, 325.69) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 8.705935
(419.43, 13.71, 325.69) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 8.707377
(419.43, 13.71, 325.69) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 8.71012
(419.43, 13.71, 325.69) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 8.714166
(419.43, 13.71, 325.69) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 8.719517
(419.43, 13.71, 325.69) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 8.726179
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.8993
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.51114
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.2889
(419.43, 13.71, 325.69) (429.26, 7.40, 296.44) (1.53, 1.04, 0.98) Fence 19.89869
(419.43, 13.71, 325.69) (429.26, 7.40, 296.44) (1.53, 1.04, 0.98) Fence 20.03067
(419.43, 13.71, 325.69) (429.26, 7.40, 296.44) (1.53, 1.04, 0.98) Fence 20.19823
(419.43, 13.71, 325.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.708557
(419.43, 13.71, 325.69) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 8.812193
(419.43, 13.71, 325.69) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 8.811456
(419.43, 13.71, 325.69) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 8.812033
(419.43, 13.71, 325.69) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 8.813926
