¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ã(419.98, 13.91, 324.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.293664
(419.98, 13.91, 324.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.592669
(419.98, 13.91, 324.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.990418
(419.98, 13.91, 324.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.240082
(419.98, 13.91, 324.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.507078
(419.98, 13.91, 324.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.793339
(419.98, 13.91, 324.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.100939
(419.98, 13.91, 324.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.54627
(419.98, 13.91, 324.40) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 13.20049
(419.98, 13.91, 324.40) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 13.20497
(419.98, 13.91, 324.40) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 13.21143
(419.98, 13.91, 324.40) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 13.21986
(419.98, 13.91, 324.40) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 13.23029
(419.98, 13.91, 324.40) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 13.2427
(419.98, 13.91, 324.40) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 13.25712
(419.98, 13.91, 324.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.141992
(419.98, 13.91, 324.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.202435
(419.98, 13.91, 324.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.264948
(419.98, 13.91, 324.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.329733
(419.98, 13.91, 324.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.396827
(419.98, 13.91, 324.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.459759
(419.98, 13.91, 324.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.52268
(419.98, 13.91, 324.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.58779
(419.98, 13.91, 324.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.655214
(419.98, 13.91, 324.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.725034
(419.98, 13.91, 324.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.797408
(419.98, 13.91, 324.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.872379
(419.98, 13.91, 324.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.950067
(419.98, 13.91, 324.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.030565
(419.98, 13.91, 324.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.114029
