¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
 (420.33, 14.09, 323.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.57333
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.566111
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.574695
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.583856
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.593603
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.612911
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.644506
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.677212
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.711068
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.746119
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.782407
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.819982
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.886852
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.958291
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 4.033019
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 4.111248
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 4.205236
(420.39, 14.10, 323.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.62066
(420.39, 14.10, 323.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.18848
(420.39, 14.10, 323.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.87279
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.519387
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.527545
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.53627
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.545568
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.57125
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.601962
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.633753
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.666663
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.700732
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.736002
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.77851
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.845307
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.915103
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.988086
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 4.06446
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 4.168653
(420.39, 14.10, 323.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.11039
(420.39, 14.10, 323.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.84783
(420.39, 14.10, 323.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.4367
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.474294
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.482048
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.49036
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.502059
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.530913
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.560781
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.5917
(420.39, 14.10, 323.20) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.623706
