¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ê(378.13, 16.02, 294.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.018466
(378.13, 16.02, 294.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.340714
(378.13, 16.02, 294.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.682184
(378.13, 16.02, 294.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.054211
(378.13, 16.02, 294.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.431812
(378.13, 16.02, 294.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.805078
(378.13, 16.02, 294.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.21073
(378.13, 16.02, 294.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.65301
(378.13, 16.02, 294.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.13711
(378.13, 16.02, 294.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.10812
(378.13, 16.02, 294.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.84432
(378.13, 16.02, 294.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.16096
(378.13, 16.02, 294.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 18.89586
(378.13, 16.02, 294.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.13482
(378.13, 16.02, 294.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.10454
(378.13, 16.02, 294.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.07705
(378.13, 16.02, 294.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.05233
(378.13, 16.02, 294.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.03036
(378.13, 16.02, 294.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.01114
(378.13, 16.02, 294.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 17.99464
(378.13, 16.02, 294.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 17.98085
(378.13, 16.02, 294.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 17.96976
(378.13, 16.02, 294.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.839188
(378.13, 16.02, 294.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.026552
(378.13, 16.02, 294.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.227354
(378.13, 16.02, 294.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.442941
(378.13, 16.02, 294.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.675042
(378.13, 16.02, 294.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.925556
(378.13, 16.02, 294.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.166483
(378.13, 16.02, 294.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.422892
(378.13, 16.02, 294.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.699543
(378.13, 16.02, 294.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.998825
(378.13, 16.02, 294.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.323621
(378.13, 16.02, 294.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.665377
(378.13, 16.02, 294.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.035892
(378.13, 16.02, 294.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.403051
(378.13, 16.02, 294.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.773932
(378.13, 16.02, 294.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.17686
(378.13, 16.02, 294.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.6161
(378.13, 16.02, 294.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.10305
(378.13, 16.02, 294.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.18388
(378.13, 16.02, 294.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.86452
(378.13, 16.02, 294.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.18451
(378.13, 16.02, 294.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 18.91499
(378.13, 16.02, 294.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.30313
(378.13, 16.02, 294.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.26582
(378.13, 16.02, 294.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.23138
(378.13, 16.02, 294.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.19978
(378.13, 16.02, 294.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.171
(378.13, 16.02, 294.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.14501
(378.13, 16.02, 294.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.12181
º(378.13, 16.02, 294.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.10135
(378.13, 16.02, 294.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.08364
(378.13, 16.02, 294.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.832849
(378.13, 16.02, 294.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.01976
(378.13, 16.02, 294.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.220058
(378.13, 16.02, 294.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.435098
(378.13, 16.02, 294.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.666598
(378.13, 16.02, 294.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.913899
(378.13, 16.02, 294.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.151141
(378.13, 16.02, 294.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.406378
(378.13, 16.02, 294.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.68172
(378.13, 16.02, 294.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.979548
(378.13, 16.02, 294.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.302687
(378.13, 16.02, 294.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.648994
(378.13, 16.02, 294.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.018038
(378.13, 16.02, 294.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.374969
(378.13, 16.02, 294.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.743553
(378.13, 16.02, 294.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.14387
