¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
  (377.45, 15.73, 283.67) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 4.21349
(377.45, 15.73, 283.67) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 4.229575
(377.45, 15.73, 283.67) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 4.246418
(377.45, 15.73, 283.67) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 4.287432
(377.45, 15.73, 283.67) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 4.390078
(377.45, 15.73, 283.67) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 4.498445
(377.45, 15.73, 283.67) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 4.613006
(377.45, 15.73, 283.67) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 4.734278
(377.45, 15.73, 283.67) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 3.929839
(377.45, 15.73, 283.67) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 3.865791
(377.45, 15.73, 283.67) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 3.804357
(377.45, 15.73, 283.67) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 3.745394
(377.45, 15.73, 283.67) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 3.688774
(377.45, 15.73, 283.67) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 3.646064
(377.45, 15.73, 283.67) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 3.721119
(377.45, 15.73, 283.67) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 3.799907
(377.45, 15.73, 283.67) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 3.882696
(377.45, 15.73, 283.67) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 3.969779
(377.45, 15.73, 283.67) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.061478
(377.45, 15.73, 283.67) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 4.151223
(377.45, 15.73, 283.67) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 4.109568
(377.45, 15.73, 283.67) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 4.100139
(377.45, 15.73, 283.67) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 4.091731
(377.45, 15.73, 283.67) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 4.101436
(377.45, 15.73, 283.67) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 4.111803
(377.45, 15.73, 283.67) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 4.122839
(377.45, 15.73, 283.67) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 4.134553
(377.45, 15.73, 283.67) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 4.146955
(377.45, 15.73, 283.67) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 4.160055
