¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ñ(377.44, 15.44, 279.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.316422
(377.44, 15.44, 279.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.610796
(377.44, 15.44, 279.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.931117
(377.44, 15.44, 279.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.280877
(377.44, 15.44, 279.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.664267
(377.44, 15.44, 279.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.086269
(377.44, 15.44, 279.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.553034
(377.44, 15.44, 279.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.07188
(377.44, 15.44, 279.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.65206
(377.44, 15.44, 279.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.30314
(377.44, 15.44, 279.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.99208
(377.44, 15.44, 279.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.76291
(377.44, 15.44, 279.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.58871
(377.44, 15.44, 279.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.57686
(377.44, 15.44, 279.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.12199
(377.44, 15.44, 279.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.08415
(377.44, 15.44, 279.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.51273
(377.44, 15.44, 279.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.15602
(377.44, 15.44, 279.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.23735
(377.44, 15.44, 279.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.7708
(377.44, 15.44, 279.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.20188
(377.44, 15.44, 279.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.363032
(377.44, 15.44, 279.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.532922
(377.44, 15.44, 279.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.715316
(377.44, 15.44, 279.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.911059
(377.44, 15.44, 279.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.121631
(377.44, 15.44, 279.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.346132
(377.44, 15.44, 279.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.585073
(377.44, 15.44, 279.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.304349
(377.44, 15.44, 279.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.597718
(377.44, 15.44, 279.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.916869
(377.44, 15.44, 279.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.265296
(377.44, 15.44, 279.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.647164
(377.44, 15.44, 279.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.06744
(377.44, 15.44, 279.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.532144
(377.44, 15.44, 279.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.04864
(377.44, 15.44, 279.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.62598
(377.44, 15.44, 279.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.27552
(377.44, 15.44, 279.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.96122
(377.44, 15.44, 279.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.73041
(377.44, 15.44, 279.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.55186
(377.44, 15.44, 279.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.20498
(377.44, 15.44, 279.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.7848
(377.44, 15.44, 279.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.03153
(377.44, 15.44, 279.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.45236
(377.44, 15.44, 279.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.09441
(377.44, 15.44, 279.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.15016
(377.44, 15.44, 279.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.65521
(377.44, 15.44, 279.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.196781
(377.44, 15.44, 279.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.356959
(377.44, 15.44, 279.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.526554
Ò(377.44, 15.44, 279.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.708495
(377.44, 15.44, 279.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.903734
(377.44, 15.44, 279.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.113746
(377.44, 15.44, 279.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.337142
(377.44, 15.44, 279.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.575361
(377.44, 15.44, 279.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.833246
(377.44, 15.44, 279.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.188035
(377.44, 15.44, 279.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.90291
(377.44, 15.44, 279.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.250054
