¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ò(382.70, 13.87, 257.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.961737
(382.70, 13.87, 257.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.53707
(382.70, 13.87, 257.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.15315
(382.70, 13.87, 257.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.85591
(382.70, 13.87, 257.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.70881
(382.70, 13.87, 257.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.64844
(382.70, 13.87, 257.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.72426
(382.70, 13.87, 257.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.21814
(382.70, 13.87, 257.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.66414
(382.70, 13.87, 257.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.78506
(382.70, 13.87, 257.89) (410.71, 7.73, 234.72) (1.88, 1.40, 1.43) Tools 19.12759
(382.70, 13.87, 257.89) (410.71, 7.73, 234.72) (1.88, 1.40, 1.43) Tools 19.11037
(382.70, 13.87, 257.89) (410.71, 7.73, 234.72) (1.88, 1.40, 1.43) Tools 19.09603
(382.70, 13.87, 257.89) (410.71, 7.73, 234.72) (1.88, 1.40, 1.43) Tools 19.08455
(382.70, 13.87, 257.89) (412.47, 7.73, 234.06) (1.88, 1.40, 1.43) Tools 21.2913
(382.70, 13.87, 257.89) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 21.28487
(382.70, 13.87, 257.89) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 21.28161
(382.70, 13.87, 257.89) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 21.28153
(382.70, 13.87, 257.89) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 21.28463
(382.70, 13.87, 257.89) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 21.29091
(382.70, 13.87, 257.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.893501
(382.70, 13.87, 257.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.093992
(382.70, 13.87, 257.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.309579
(382.70, 13.87, 257.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.541455
(382.70, 13.87, 257.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.793104
(382.70, 13.87, 257.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.535811
(382.70, 13.87, 257.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.850112
(382.70, 13.87, 257.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.193089
(382.70, 13.87, 257.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.568712
(382.70, 13.87, 257.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.978128
(382.70, 13.87, 257.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.44449
(382.70, 13.87, 257.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.967655
(382.70, 13.87, 257.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.54317
(382.70, 13.87, 257.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.15999
