¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
€ (405.22, 14.31, 246.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.793772
(405.22, 14.31, 246.20) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 8.917113
(405.22, 14.31, 246.20) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 8.896115
(405.22, 14.31, 246.20) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 9.285018
(405.22, 14.31, 246.20) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 9.46975
(405.22, 14.31, 246.20) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 9.601598
(405.22, 14.31, 246.20) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 9.707459
(405.22, 14.31, 246.20) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 9.760818
(405.22, 14.31, 246.20) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 9.803539
(405.22, 14.31, 246.20) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 9.809765
(405.22, 14.31, 246.20) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 9.797446
(405.22, 14.31, 246.20) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 9.755326
(405.22, 14.31, 246.20) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 9.677715
(405.22, 14.31, 246.20) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 9.575396
(405.22, 14.31, 246.20) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 9.391858
(405.22, 14.31, 246.20) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 8.966229
(405.22, 14.31, 246.20) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 8.745902
(405.22, 14.31, 246.20) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 8.745114
(405.22, 14.31, 246.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.477919
(405.22, 14.31, 246.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.705091
(405.22, 14.31, 246.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.949829
(405.22, 14.31, 246.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.214256
(405.22, 14.31, 246.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.500762
(405.22, 14.31, 246.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.812183
(405.22, 14.31, 246.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.151833
(405.22, 14.31, 246.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.467672
(405.22, 14.31, 246.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.773006
(405.22, 14.31, 246.20) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 9.042146
(405.22, 14.31, 246.20) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 9.020922
(405.22, 14.31, 246.20) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 9.219438
(405.22, 14.31, 246.20) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 9.397794
(405.22, 14.31, 246.20) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 9.516346
(405.22, 14.31, 246.20) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 9.61339
(405.22, 14.31, 246.20) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 9.665515
(405.22, 14.31, 246.20) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 9.702326
(405.22, 14.31, 246.20) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 9.708241
(405.22, 14.31, 246.20) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 9.692036
(405.22, 14.31, 246.20) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 9.650656
