¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
û(409.97, 14.51, 245.76) (429.68, 8.60, 237.54) (3.13, 1.85, 2.73) Tools 9.8516
(409.97, 14.51, 245.76) (429.68, 8.60, 237.54) (3.13, 1.85, 2.73) Tools 9.815165
(409.97, 14.51, 245.76) (429.68, 8.60, 237.54) (3.13, 1.85, 2.73) Tools 9.808535
(409.97, 14.51, 245.76) (429.68, 8.60, 237.54) (3.13, 1.85, 2.73) Tools 9.813827
(409.97, 14.51, 245.76) (429.68, 8.60, 237.54) (3.13, 1.85, 2.73) Tools 9.833427
(409.97, 14.51, 245.76) (429.68, 8.60, 237.54) (3.13, 1.85, 2.73) Tools 9.88191
(409.97, 14.51, 245.76) (429.68, 8.60, 237.54) (3.13, 1.85, 2.73) Tools 9.937893
(409.97, 14.51, 245.76) (429.68, 8.60, 237.54) (3.13, 1.85, 2.73) Tools 10.04525
(409.97, 14.51, 245.76) (429.68, 8.60, 237.54) (3.13, 1.85, 2.73) Tools 10.19169
(409.97, 14.51, 245.76) (429.68, 8.60, 237.54) (3.13, 1.85, 2.73) Tools 10.50248
(409.97, 14.51, 245.76) (433.21, 9.89, 233.71) (2.32, 1.85, 2.92) Tools 14.19046
(409.97, 14.51, 245.76) (433.21, 9.89, 233.71) (2.32, 1.85, 2.92) Tools 14.10676
(409.97, 14.51, 245.76) (433.21, 9.89, 233.71) (2.32, 1.85, 2.92) Tools 14.10556
(409.97, 14.51, 245.76) (433.21, 9.89, 233.71) (2.32, 1.85, 2.92) Tools 14.10647
(409.97, 14.51, 245.76) (433.21, 9.89, 233.71) (2.32, 1.85, 2.92) Tools 14.26009
(409.97, 14.51, 245.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.431252
(409.97, 14.51, 245.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.657052
(409.97, 14.51, 245.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.900338
(409.97, 14.51, 245.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.163224
(409.97, 14.51, 245.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.44804
(409.97, 14.51, 245.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.757687
(409.97, 14.51, 245.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.095438
(409.97, 14.51, 245.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.451344
(409.97, 14.51, 245.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.876051
(409.97, 14.51, 245.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.332842
(409.97, 14.51, 245.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.840748
(409.97, 14.51, 245.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.27698
(409.97, 14.51, 245.76) (429.68, 8.60, 237.54) (3.13, 1.85, 2.73) Tools 10.2596
(409.97, 14.51, 245.76) (429.68, 8.60, 237.54) (3.13, 1.85, 2.73) Tools 10.0777
(409.97, 14.51, 245.76) (429.68, 8.60, 237.54) (3.13, 1.85, 2.73) Tools 9.978056
(409.97, 14.51, 245.76) (429.68, 8.60, 237.54) (3.13, 1.85, 2.73) Tools 9.889379
(409.97, 14.51, 245.76) (429.68, 8.60, 237.54) (3.13, 1.85, 2.73) Tools 9.851191
(409.97, 14.51, 245.76) (429.68, 8.60, 237.54) (3.13, 1.85, 2.73) Tools 9.814757
