¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¸(416.23, 14.70, 246.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.198431
(416.23, 14.70, 246.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.624392
(416.23, 14.70, 246.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.095475
(416.23, 14.70, 246.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.31228
(416.23, 14.70, 246.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.96901
(416.23, 14.70, 246.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.71688
(416.23, 14.70, 246.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.57629
(416.23, 14.70, 246.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.58706
(416.23, 14.70, 246.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.79756
(416.23, 14.70, 246.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.24754
(416.23, 14.70, 246.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.01552
(416.23, 14.70, 246.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.54742
(416.23, 14.70, 246.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.40511
(416.23, 14.70, 246.12) (453.22, 9.03, 254.33) (2.56, 2.61, 2.56) Tools 20.73656
(416.23, 14.70, 246.12) (453.22, 9.03, 254.33) (2.56, 2.61, 2.56) Tools 20.71255
(416.23, 14.70, 246.12) (453.22, 9.03, 254.33) (2.56, 2.61, 2.56) Tools 20.69167
(416.23, 14.70, 246.12) (453.22, 9.03, 254.33) (2.56, 2.61, 2.56) Tools 20.67392
(416.23, 14.70, 246.12) (453.22, 9.03, 254.33) (2.56, 2.61, 2.56) Tools 20.65928
(416.23, 14.70, 246.12) (453.22, 9.03, 254.33) (2.56, 2.61, 2.56) Tools 20.64774
(416.23, 14.70, 246.12) (453.22, 9.03, 254.33) (2.56, 2.61, 2.56) Tools 20.63929
(416.23, 14.70, 246.12) (453.22, 9.03, 254.33) (2.56, 2.61, 2.56) Tools 20.63392
(416.23, 14.70, 246.12) (453.22, 9.03, 254.33) (2.56, 2.61, 2.56) Tools 20.63164
(416.23, 14.70, 246.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.118943
(416.23, 14.70, 246.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.346254
(416.23, 14.70, 246.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.592127
(416.23, 14.70, 246.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.859489
(416.23, 14.70, 246.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.155876
(416.23, 14.70, 246.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.472856
(416.23, 14.70, 246.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.820446
