¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
©(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.1988
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.87558
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.64827
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.53332
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.52521
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.68401
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.02631
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.52845
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.34753
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.76188
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.545228
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.81093
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.101926
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.423268
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.771894
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.155993
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.586824
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.060894
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.595692
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.20028
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.87606
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.64721
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.53124
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.52364
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.6782
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.02346
