¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ö(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.273519
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.573621
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.890155
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.23538
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 8.268301
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 8.266322
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 8.281253
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 8.297478
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 8.344893
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 8.406882
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 8.471072
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 8.594708
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 8.723764
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 8.952011
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 9.413898
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.58314
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.18514
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.504162
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.737013
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.991645
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.267399
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.566477
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.882222
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 8.209789
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 8.180249
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 8.187478
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 8.201887
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 8.217573
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 8.272258
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 8.332977
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 8.405094
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 8.527063
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 8.653934
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 8.89535
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.84335
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.34874
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.93319
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.496804
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.731787
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.986008
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.261247
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.559171
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.874258
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 8.124467
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 8.098557
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 8.111211
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 8.125119
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 8.144433
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 8.20188
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 8.261385
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 8.341458
ç(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 8.461428
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 8.601161
