¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
§(439.14, 14.94, 252.44) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 11.74191
(439.14, 14.94, 252.44) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 17.34088
(439.14, 14.94, 252.44) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 17.32228
(439.14, 14.94, 252.44) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 17.3063
(439.14, 14.94, 252.44) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 17.29292
(439.14, 14.94, 252.44) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 17.28215
(439.14, 14.94, 252.44) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 17.27397
(439.14, 14.94, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.497991
(439.14, 14.94, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.680813
(439.14, 14.94, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.877128
(439.14, 14.94, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.088438
(439.14, 14.94, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.316489
(439.14, 14.94, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.563287
(439.14, 14.94, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.831243
(439.14, 14.94, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.123116
(439.14, 14.94, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.442203
(439.14, 14.94, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.783138
(439.14, 14.94, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.712951
(439.14, 14.94, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.150345
(439.14, 14.94, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.635554
(439.14, 14.94, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.17661
(439.14, 14.94, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.78384
(439.14, 14.94, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.46989
(439.14, 14.94, 252.44) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 12.16112
(439.14, 14.94, 252.44) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 12.117
(439.14, 14.94, 252.44) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 12.07499
(439.14, 14.94, 252.44) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 12.03507
(439.14, 14.94, 252.44) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 11.99719
(439.14, 14.94, 252.44) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 11.96133
(439.14, 14.94, 252.44) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 11.92745
(439.14, 14.94, 252.44) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 11.89554
(439.14, 14.94, 252.44) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 11.86557
(439.14, 14.94, 252.44) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 17.38161
(439.14, 14.94, 252.44) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 17.36294
(439.14, 14.94, 252.44) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 17.3469
(439.14, 14.94, 252.44) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 17.33347
(439.14, 14.94, 252.44) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 17.32264
(439.14, 14.94, 252.44) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 17.31441
(439.14, 14.94, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.504322
(439.14, 14.94, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.6876
(439.14, 14.94, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.884422
(439.14, 14.94, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.096299
(439.14, 14.94, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.324982
(439.14, 14.94, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.572493
(439.14, 14.94, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.841252
(439.14, 14.94, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.134037
(439.14, 14.94, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.454166
(439.14, 14.94, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.796952
(439.14, 14.94, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.728689
(439.14, 14.94, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.167774
