¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
İ(439.15, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.0189
(439.15, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.88281
(439.15, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.88271
(439.15, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.01042
(439.15, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.45649
(439.15, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.13472
(439.15, 14.95, 252.44) (452.21, 8.08, 289.80) (2.47, 2.69, 7.63) Cabin 19.76706
(439.15, 14.95, 252.44) (452.21, 8.08, 289.80) (2.47, 2.69, 7.63) Cabin 19.73268
(439.15, 14.95, 252.44) (452.21, 8.08, 289.80) (2.47, 2.69, 7.63) Cabin 19.70136
(439.15, 14.95, 252.44) (452.21, 8.08, 289.80) (2.47, 2.69, 7.63) Cabin 19.67307
(439.15, 14.95, 252.44) (452.21, 8.08, 289.80) (2.47, 2.69, 7.63) Cabin 19.64779
(439.15, 14.95, 252.44) (452.21, 8.08, 289.80) (2.47, 2.69, 7.63) Cabin 19.6255
(439.15, 14.95, 252.44) (452.21, 8.08, 289.80) (2.47, 2.69, 7.63) Cabin 19.60618
(439.15, 14.95, 252.44) (452.21, 8.08, 289.80) (2.47, 2.69, 7.63) Cabin 19.58983
(439.15, 14.95, 252.44) (452.21, 8.08, 289.80) (2.47, 2.69, 7.63) Cabin 19.57642
(439.15, 14.95, 252.44) (452.21, 8.08, 289.80) (2.47, 2.69, 7.63) Cabin 19.56594
(439.15, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.616981
(439.15, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.218585
(439.15, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.439674
(439.15, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.678203
(439.15, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.936079
(439.15, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.215821
