¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
˜ (441.93, 14.52, 257.48) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 7.057186
(441.93, 14.52, 257.48) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 7.041641
(441.93, 14.52, 257.48) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 7.027211
(441.93, 14.52, 257.48) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 7.130084
(441.93, 14.52, 257.48) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 9.780359
(441.93, 14.52, 257.48) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 9.833856
(441.93, 14.52, 257.48) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 9.889423
(441.93, 14.52, 257.48) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 9.947118
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 12.77746
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 12.75539
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 12.73529
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 12.71715
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 12.70096
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 12.6867
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 12.67436
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 12.66394
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 12.65541
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 12.64879
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 12.64406
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 12.59603
(441.93, 14.52, 257.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.803174
(441.93, 14.52, 257.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.055289
(441.93, 14.52, 257.48) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 7.159371
(441.93, 14.52, 257.48) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 7.134576
(441.93, 14.52, 257.48) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 7.11101
(441.93, 14.52, 257.48) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 7.088652
(441.93, 14.52, 257.48) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 7.067488
(441.93, 14.52, 257.48) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 7.047497
(441.93, 14.52, 257.48) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 7.028666
(441.93, 14.52, 257.48) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 7.010979
(441.93, 14.52, 257.48) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 6.994421
(441.93, 14.52, 257.48) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 6.978981
(441.93, 14.52, 257.48) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 6.964647
(441.93, 14.52, 257.48) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 7.152893
(441.93, 14.52, 257.48) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 9.361106
(441.93, 14.52, 257.48) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 9.409242
(441.93, 14.52, 257.48) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 9.459291
(441.93, 14.52, 257.48) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 9.51131
(441.93, 14.52, 257.48) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 9.565334
(441.93, 14.52, 257.48) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 9.621422
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 12.81103
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 12.79277
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 12.77647
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 12.7621
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 12.74968
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 12.73917
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 12.73059
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 12.72391
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 12.71913
(441.93, 14.52, 257.48) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 12.6708
(441.93, 14.52, 257.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.810833
— (441.93, 14.52, 257.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.063578
(441.93, 14.52, 257.48) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 7.097567
(441.93, 14.52, 257.48) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 7.072951
(441.93, 14.52, 257.48) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 7.049556
(441.93, 14.52, 257.48) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 7.027358
(441.93, 14.52, 257.48) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 7.006343
(441.93, 14.52, 257.48) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 6.986492
(441.93, 14.52, 257.48) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 6.967791
(441.93, 14.52, 257.48) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 6.950224
(441.93, 14.52, 257.48) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 6.93378
(441.93, 14.52, 257.48) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 6.918442
(441.93, 14.52, 257.48) (443.96, 7.36, 279.62) (2.09, 1.13, 1.93) Tools 6.9042
(441.93, 14.52, 257.48) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 8.935742
(441.93, 14.52, 257.48) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 8.977472
(441.93, 14.52, 257.48) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 9.020945
(441.93, 14.52, 257.48) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 9.066202
(441.93, 14.52, 257.48) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 9.11328
(441.93, 14.52, 257.48) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 9.162225
(441.93, 14.52, 257.48) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 9.633568
