¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¾(442.38, 14.27, 263.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.46094
(442.38, 14.27, 263.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.60907
(442.38, 14.27, 263.72) (428.18, 7.81, 291.32) (2.89, 2.47, 2.55) Tools 15.60718
(442.38, 14.27, 263.72) (428.18, 7.81, 291.32) (2.89, 2.47, 2.55) Tools 15.56294
(442.38, 14.27, 263.72) (428.18, 7.81, 291.32) (2.89, 2.47, 2.55) Tools 15.52126
(442.38, 14.27, 263.72) (428.18, 7.81, 291.32) (2.89, 2.47, 2.55) Tools 15.48211
(442.38, 14.27, 263.72) (428.18, 7.81, 291.32) (2.89, 2.47, 2.55) Tools 15.44545
(442.38, 14.27, 263.72) (428.18, 7.81, 291.32) (2.89, 2.47, 2.55) Tools 15.41126
(442.38, 14.27, 263.72) (428.18, 7.81, 291.32) (2.89, 2.47, 2.55) Tools 15.37951
(442.38, 14.27, 263.72) (428.18, 7.81, 291.32) (2.89, 2.47, 2.55) Tools 15.35017
(442.38, 14.27, 263.72) (428.18, 7.81, 291.32) (2.89, 2.47, 2.55) Tools 15.32324
(442.38, 14.27, 263.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.976623
(442.38, 14.27, 263.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.178233
(442.38, 14.27, 263.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.394909
(442.38, 14.27, 263.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.62836
(442.38, 14.27, 263.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.877286
(442.38, 14.27, 263.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.146225
(442.38, 14.27, 263.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.919064
(442.38, 14.27, 263.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.260353
(442.38, 14.27, 263.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.633712
(442.38, 14.27, 263.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.043831
(442.38, 14.27, 263.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.496325
(442.38, 14.27, 263.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.992079
(442.38, 14.27, 263.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.53254
(442.38, 14.27, 263.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.13653
(442.38, 14.27, 263.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.81593
(442.38, 14.27, 263.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.58561
(442.38, 14.27, 263.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.46467
(442.38, 14.27, 263.72) (431.00, 7.16, 290.60) (0.48, 0.85, 1.34) Fence 13.57023
(442.38, 14.27, 263.72) (431.00, 7.16, 290.60) (0.48, 0.85, 1.34) Fence 13.54668
(442.38, 14.27, 263.72) (431.00, 7.16, 290.60) (0.48, 0.85, 1.34) Fence 13.52524
(442.38, 14.27, 263.72) (431.00, 7.16, 290.60) (0.48, 0.85, 1.34) Fence 13.50587
(442.38, 14.27, 263.72) (428.18, 7.81, 291.32) (2.89, 2.47, 2.55) Tools 15.70641
(442.38, 14.27, 263.72) (428.18, 7.81, 291.32) (2.89, 2.47, 2.55) Tools 15.66652
(442.38, 14.27, 263.72) (428.18, 7.81, 291.32) (2.89, 2.47, 2.55) Tools 15.62915
(442.38, 14.27, 263.72) (428.18, 7.81, 291.32) (2.89, 2.47, 2.55) Tools 15.59428
(442.38, 14.27, 263.72) (428.18, 7.81, 291.32) (2.89, 2.47, 2.55) Tools 15.56189
(442.38, 14.27, 263.72) (428.18, 7.81, 291.32) (2.89, 2.47, 2.55) Tools 15.53194
(442.38, 14.27, 263.72) (428.18, 7.81, 291.32) (2.89, 2.47, 2.55) Tools 15.50442
(442.38, 14.27, 263.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.98112
(442.38, 14.27, 263.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.183062
(442.38, 14.27, 263.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.400103
(442.38, 14.27, 263.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.633621
(442.38, 14.27, 263.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.882602
(442.38, 14.27, 263.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.151989
(442.38, 14.27, 263.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.926301
(442.38, 14.27, 263.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.268211
(442.38, 14.27, 263.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.64233
(442.38, 14.27, 263.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.053314
(442.38, 14.27, 263.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.506846
(442.38, 14.27, 263.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.00028
­(442.38, 14.27, 263.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.54165
(442.38, 14.27, 263.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.14678
(442.38, 14.27, 263.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.82752
(442.38, 14.27, 263.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.59875
(442.38, 14.27, 263.72) (431.00, 7.16, 290.60) (0.48, 0.85, 1.34) Fence 13.45702
(442.38, 14.27, 263.72) (431.00, 7.16, 290.60) (0.48, 0.85, 1.34) Fence 13.43163
(442.38, 14.27, 263.72) (431.00, 7.16, 290.60) (0.48, 0.85, 1.34) Fence 13.42395
(442.38, 14.27, 263.72) (431.00, 7.16, 290.60) (0.48, 0.85, 1.34) Fence 13.45121
(442.38, 14.27, 263.72) (431.00, 7.16, 290.60) (0.48, 0.85, 1.34) Fence 13.4806
(442.38, 14.27, 263.72) (428.18, 7.81, 291.32) (2.89, 2.47, 2.55) Tools 15.89847
(442.38, 14.27, 263.72) (428.18, 7.81, 291.32) (2.89, 2.47, 2.55) Tools 15.8578
(442.38, 14.27, 263.72) (428.18, 7.81, 291.32) (2.89, 2.47, 2.55) Tools 15.81969
(442.38, 14.27, 263.72) (428.18, 7.81, 291.32) (2.89, 2.47, 2.55) Tools 15.78411
(442.38, 14.27, 263.72) (428.18, 7.81, 291.32) (2.89, 2.47, 2.55) Tools 15.75104
(442.38, 14.27, 263.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.985648
(442.38, 14.27, 263.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.187922
(442.38, 14.27, 263.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.405332
(442.38, 14.27, 263.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.638698
(442.38, 14.27, 263.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.887972
(442.38, 14.27, 263.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.157807
(442.38, 14.27, 263.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.450804
(442.38, 14.27, 263.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.276172
(442.38, 14.27, 263.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.651024
(442.38, 14.27, 263.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.062918
(442.38, 14.27, 263.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.517433
(442.38, 14.27, 263.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.00861
(442.38, 14.27, 263.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.55098
(442.38, 14.27, 263.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.15724
(442.38, 14.27, 263.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.83926
(442.38, 14.27, 263.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.61216
(442.38, 14.27, 263.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.49511
(442.38, 14.27, 263.72) (431.00, 7.16, 290.60) (0.48, 0.85, 1.34) Fence 13.5916
(442.38, 14.27, 263.72) (431.00, 7.16, 290.60) (0.48, 0.85, 1.34) Fence 13.61782
(442.38, 14.27, 263.72) (431.00, 7.16, 290.60) (0.48, 0.85, 1.34) Fence 13.64617
(442.38, 14.27, 263.72) (431.00, 7.16, 290.60) (0.48, 0.85, 1.34) Fence 13.67669
(442.38, 14.27, 263.72) (431.00, 7.16, 290.60) (0.48, 0.85, 1.34) Fence 13.87987
(442.38, 14.27, 263.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.82181
(442.38, 14.27, 263.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.6275
(442.38, 14.27, 263.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.42728
(442.38, 14.27, 263.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.990206
(442.38, 14.27, 263.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.192813
(442.38, 14.27, 263.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.410597
(442.38, 14.27, 263.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.643714
(442.38, 14.27, 263.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.893394
(442.38, 14.27, 263.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.163685
(442.38, 14.27, 263.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.457195
(442.38, 14.27, 263.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.284178
(442.38, 14.27, 263.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.659825
(442.38, 14.27, 263.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.072563
(442.38, 14.27, 263.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.528128
(442.38, 14.27, 263.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.01711
™(442.38, 14.27, 263.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.56041
(442.38, 14.27, 263.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.16782
