¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
§(437.59, 13.99, 297.66) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 10.81929
(437.59, 13.99, 297.66) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 10.8378
(437.59, 13.99, 297.66) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 10.85799
(437.59, 13.99, 297.66) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 10.87989
(437.59, 13.99, 297.66) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 10.90989
(437.59, 13.99, 297.66) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 11.01053
(437.59, 13.99, 297.66) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 11.16501
(437.59, 13.99, 297.66) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 11.3256
(437.59, 13.99, 297.66) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 11.49261
(437.59, 13.99, 297.66) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 11.67066
(437.59, 13.99, 297.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.660624
(437.59, 13.99, 297.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.926688
(437.59, 13.99, 297.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.21601
(437.59, 13.99, 297.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.531734
(437.59, 13.99, 297.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.877578
(437.59, 13.99, 297.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.260404
(437.59, 13.99, 297.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.689777
(437.59, 13.99, 297.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.171712
(437.59, 13.99, 297.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.717656
(437.59, 13.99, 297.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.33682
(437.59, 13.99, 297.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.05448
(437.59, 13.99, 297.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.86389
(437.59, 13.99, 297.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.89706
(437.59, 13.99, 297.66) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 10.26711
(437.59, 13.99, 297.66) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 10.168
(437.59, 13.99, 297.66) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 10.18164
(437.59, 13.99, 297.66) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 10.20334
(437.59, 13.99, 297.66) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 10.22905
(437.59, 13.99, 297.66) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 10.25642
(437.59, 13.99, 297.66) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 10.28548
(437.59, 13.99, 297.66) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 10.31625
(437.59, 13.99, 297.66) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 10.3571
(437.59, 13.99, 297.66) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 10.45073
(437.59, 13.99, 297.66) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 10.5521
(437.59, 13.99, 297.66) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 10.66397
(437.59, 13.99, 297.66) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 10.79414
(437.59, 13.99, 297.66) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 10.92917
(437.59, 13.99, 297.66) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 11.0693
(437.59, 13.99, 297.66) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 11.21477
(437.59, 13.99, 297.66) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 11.38489
(437.59, 13.99, 297.66) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 11.56543
(437.59, 13.99, 297.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.659006
(437.59, 13.99, 297.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.92493
(437.59, 13.99, 297.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.214097
(437.59, 13.99, 297.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.529641
(437.59, 13.99, 297.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.875281
(437.59, 13.99, 297.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.257607
(437.59, 13.99, 297.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.686662
(437.59, 13.99, 297.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.168228
(437.59, 13.99, 297.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.713331
(437.59, 13.99, 297.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.33191
Ñ(437.59, 13.99, 297.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.04762
(437.59, 13.99, 297.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.85597
(437.59, 13.99, 297.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.88313
(437.59, 13.99, 297.66) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 9.189929
(437.59, 13.99, 297.66) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 9.209014
(437.59, 13.99, 297.66) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 9.229559
(437.59, 13.99, 297.66) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 9.25158
(437.59, 13.99, 297.66) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 9.275095
(437.59, 13.99, 297.66) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 9.300119
(437.59, 13.99, 297.66) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 9.729991
(437.59, 13.99, 297.66) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 9.154674
(437.59, 13.99, 297.66) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 9.183723
(437.59, 13.99, 297.66) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 9.214336
(437.59, 13.99, 297.66) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 9.24654
(437.59, 13.99, 297.66) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 9.280359
(437.59, 13.99, 297.66) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 9.315822
(437.59, 13.99, 297.66) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 10.28696
(437.59, 13.99, 297.66) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 10.3867
(437.59, 13.99, 297.66) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 10.49913
(437.59, 13.99, 297.66) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 10.61646
(437.59, 13.99, 297.66) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 10.73806
(437.59, 13.99, 297.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.657266
(437.59, 13.99, 297.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.923042
(437.59, 13.99, 297.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.212037
(437.59, 13.99, 297.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.527388
(437.59, 13.99, 297.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.872807
(437.59, 13.99, 297.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.254602
(437.59, 13.99, 297.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.68329
(437.59, 13.99, 297.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.164461
(437.59, 13.99, 297.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.708661
(437.59, 13.99, 297.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.3266
(437.59, 13.99, 297.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.04031
(437.59, 13.99, 297.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.84754
(437.59, 13.99, 297.66) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 8.714067
(437.59, 13.99, 297.66) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 8.728924
(437.59, 13.99, 297.66) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 8.745139
(437.59, 13.99, 297.66) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 8.762725
(437.59, 13.99, 297.66) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 8.781695
(437.59, 13.99, 297.66) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 8.802065
(437.59, 13.99, 297.66) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 8.823849
(437.59, 13.99, 297.66) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 9.232683
(437.59, 13.99, 297.66) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 8.681952
(437.59, 13.99, 297.66) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 8.707529
(437.59, 13.99, 297.66) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 8.734565
(437.59, 13.99, 297.66) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 8.763082
(437.59, 13.99, 297.66) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 8.7931
(437.59, 13.99, 297.66) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 8.824648
(437.59, 13.99, 297.66) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 8.857749
(437.59, 13.99, 297.66) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 8.892433
(437.59, 13.99, 297.66) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 8.928727
(437.59, 13.99, 297.66) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 8.966662
±(437.59, 13.99, 297.66) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 9.00627
(437.59, 13.99, 297.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.655404
