¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
‡ (402.41, 7.22, 366.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.58993
(402.41, 7.22, 366.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.69057
(402.41, 7.22, 366.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.50169
(402.41, 7.22, 366.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.96204
(402.41, 7.22, 366.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.45756
(402.41, 7.22, 366.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.22581
(402.41, 7.22, 366.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.86147
(402.41, 7.22, 366.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.57113
(402.41, 7.22, 366.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.61932
(402.41, 7.22, 366.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.26994
(402.41, 7.22, 366.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.96123
(402.41, 7.22, 366.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.781573
(402.41, 7.22, 366.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.975799
(402.41, 7.22, 366.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.18448
(402.41, 7.22, 366.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.409256
(402.41, 7.22, 366.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.652016
(402.41, 7.22, 366.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.914966
(402.41, 7.22, 366.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.200678
(402.41, 7.22, 366.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.512185
(402.41, 7.22, 366.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.85309
(402.41, 7.22, 366.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.227691
(402.41, 7.22, 366.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.641175
(402.41, 7.22, 366.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.09985
(402.41, 7.22, 366.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.611459
(402.41, 7.22, 366.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.18563
(402.41, 7.22, 366.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.83449
(402.41, 7.22, 366.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.63066
(402.41, 7.22, 366.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.71059
(402.41, 7.22, 366.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.48036
(402.41, 7.22, 366.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.40564
(402.41, 7.22, 366.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.80503
(402.41, 7.22, 366.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.43834
(402.41, 7.22, 366.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.11892
(402.41, 7.22, 366.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.8521
(402.41, 7.22, 366.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.91553
(402.41, 7.22, 366.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.58304
(402.41, 7.22, 366.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.786948
(402.41, 7.22, 366.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.981565
(402.41, 7.22, 366.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.190683
(402.41, 7.22, 366.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.415946
(402.41, 7.22, 366.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.659252
(402.41, 7.22, 366.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.922813
(402.41, 7.22, 366.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.209217
(402.41, 7.22, 366.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.521513
(402.41, 7.22, 366.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.863315
(402.41, 7.22, 366.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.238951
