¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
à(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.2678
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.83103
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.89701
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.9829
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.07252
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.16595
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.26334
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.36467
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.47013
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.57981
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.6937
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.81205
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.93486
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.06228
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.19451
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.795794
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.995904
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.209244
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.437176
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.612154
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.618365
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.910219
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.37247
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.893509
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.479901
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.14563
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.91369
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.80946
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.9203
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.62152
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.47166
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.58269
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.00262
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.06136
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.12351
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.189
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.258
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.33051
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.40657
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.48629
