¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ˆ(350.73, 8.74, 314.06) (317.06, 0.43, 303.65) (1.40, 1.43, 1.36) Tools 22.77428
(350.73, 8.74, 314.06) (317.06, 0.43, 303.65) (1.40, 1.43, 1.36) Tools 22.72964
(350.73, 8.74, 314.06) (317.06, 0.43, 303.65) (1.40, 1.43, 1.36) Tools 22.68857
(350.73, 8.74, 314.06) (317.06, 1.79, 303.65) (1.40, 1.43, 1.36) Tools 22.65102
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.046838
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.17377
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.309587
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.864607
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.035561
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.219742
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.418762
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.634401
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.868876
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.124626
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.404675
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.712629
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.052798
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.430469
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.818098
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.189779
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.599923
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.054743
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.561847
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.987755
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.45082
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.03677
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.05828
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.0375
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.44249
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.34615
(350.73, 8.74, 314.06) (317.06, 0.43, 303.65) (1.40, 1.43, 1.36) Tools 22.60308
(350.73, 8.74, 314.06) (317.06, 0.43, 303.65) (1.40, 1.43, 1.36) Tools 22.55572
(350.73, 8.74, 314.06) (317.06, 0.43, 303.65) (1.40, 1.43, 1.36) Tools 22.51191
