¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¼(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.01296
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.99691
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.98254
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.96985
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.95882
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.94944
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.94171
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.93563
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.93118
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.92836
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.87193
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.520063
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.715382
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.923878
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.146786
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.498683
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.911378
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.413166
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.751154
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.103412
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.486704
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.926291
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.59985
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.20841
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.18355
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.16046
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.13913
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.11954
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.10167
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.08551
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.07104
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.05827
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.04716
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.03773
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.02996
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.02384
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.01938
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.01656
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.95968
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.536781
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.733171
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.942845
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.167085
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.53118
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.94768
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.420683
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.78307
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.138061
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.52446
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.983994
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.66584
Â(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.30103
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.27598
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.25272
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.23124
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.2115
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.1935
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.17723
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.16266
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.1498
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.13862
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.12913
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.12131
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.11516
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.11068
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.10786
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.05053
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.553659
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.751191
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.96206
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.187667
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.563622
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.983969
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.455122
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.815393
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.173176
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.562719
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.04204
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.73232
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.3969
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.37166
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.34823
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.32658
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.30669
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.28856
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.27217
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.2575
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.24454
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.2333
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.22374
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.21588
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.2097
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.20519
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.20236
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.14457
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.570745
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.769433
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.981551
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.215497
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.596042
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.020201
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.492627
Á(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.84812
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.208751
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.601504
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.10049
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.79929
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.38967
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.4707
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.44708
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.42527
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.40523
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.38696
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.37044
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.35567
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.34262
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.3313
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.32168
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.31376
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.30755
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.30303
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.30019
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.24191
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.588067
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.78786
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.001259
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.244518
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.628368
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.056383
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.505039
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.881302
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.244759
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.640805
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.15933
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.86674
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.41234
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.57321
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.54941
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.52742
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.50723
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.48881
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.47217
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.45728
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.44414
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.43274
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.42305
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.41509
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.40884
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.4043
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.40146
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.34268
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.605549
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.806501
´(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.021198
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.273479
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.660576
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.092471
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.51739
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.914852
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.281258
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.680601
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.2185
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.90874
(339.54, 6.87, 313.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.43569
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.67933
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.65533
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.63316
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.61281
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.59425
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.57748
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.56248
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.54924
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.53775
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.528
(339.54, 6.87, 313.73) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 11.51999
