¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
í(337.70, 7.26, 322.46) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 10.22502
(337.70, 7.26, 322.46) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 10.11765
(337.70, 7.26, 322.46) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 10.10284
(337.70, 7.26, 322.46) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 10.08957
(337.70, 7.26, 322.46) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 10.09668
(337.70, 7.26, 322.46) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 10.17199
(337.70, 7.26, 322.46) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 10.24997
(337.70, 7.26, 322.46) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 10.51991
(337.70, 7.26, 322.46) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 6.857566
(337.70, 7.26, 322.46) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 6.829919
(337.70, 7.26, 322.46) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 6.808354
(337.70, 7.26, 322.46) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 6.847442
(337.70, 7.26, 322.46) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 6.888015
(337.70, 7.26, 322.46) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 6.930114
(337.70, 7.26, 322.46) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 6.973776
(337.70, 7.26, 322.46) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 7.124658
(337.70, 7.26, 322.46) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 7.291033
(337.70, 7.26, 322.46) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 9.075028
(337.70, 7.26, 322.46) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 9.131384
(337.70, 7.26, 322.46) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 9.191182
(337.70, 7.26, 322.46) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 9.416649
(337.70, 7.26, 322.46) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 11.87234
(337.70, 7.26, 322.46) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 10.34113
(337.70, 7.26, 322.46) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 10.21873
(337.70, 7.26, 322.46) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 10.11148
(337.70, 7.26, 322.46) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 10.09667
(337.70, 7.26, 322.46) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 10.08341
(337.70, 7.26, 322.46) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 10.09036
(337.70, 7.26, 322.46) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 10.16556
(337.70, 7.26, 322.46) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 10.24343
(337.70, 7.26, 322.46) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 10.5122
(337.70, 7.26, 322.46) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 6.798482
(337.70, 7.26, 322.46) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 6.771055
(337.70, 7.26, 322.46) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 6.761815
(337.70, 7.26, 322.46) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 6.80018
(337.70, 7.26, 322.46) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 6.84001
(337.70, 7.26, 322.46) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 6.881342
(337.70, 7.26, 322.46) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 6.934829
(337.70, 7.26, 322.46) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 7.091192
(337.70, 7.26, 322.46) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 7.255877
(337.70, 7.26, 322.46) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 9.031549
(337.70, 7.26, 322.46) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 9.087237
(337.70, 7.26, 322.46) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 9.158487
(337.70, 7.26, 322.46) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 9.382245
(337.70, 7.26, 322.46) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 11.78609
(337.70, 7.26, 322.46) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 10.33647
(337.70, 7.26, 322.46) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 10.21417
(337.70, 7.26, 322.46) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 10.10682
(337.70, 7.26, 322.46) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 10.09202
(337.70, 7.26, 322.46) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 10.07876
(337.70, 7.26, 322.46) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 10.08542
è(337.70, 7.26, 322.46) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 10.16054
(337.70, 7.26, 322.46) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 10.23833
(337.70, 7.26, 322.46) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 10.50573
(337.70, 7.26, 322.46) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 6.741399
(337.70, 7.26, 322.46) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 6.714183
(337.70, 7.26, 322.46) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 6.716664
(337.70, 7.26, 322.46) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 6.754335
(337.70, 7.26, 322.46) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 6.79345
(337.70, 7.26, 322.46) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 6.834047
(337.70, 7.26, 322.46) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 6.903692
(337.70, 7.26, 322.46) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 7.058528
(337.70, 7.26, 322.46) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 7.221574
(337.70, 7.26, 322.46) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 8.989593
(337.70, 7.26, 322.46) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 9.04464
(337.70, 7.26, 322.46) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 9.126771
(337.70, 7.26, 322.46) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 9.348876
(337.70, 7.26, 322.46) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 11.70254
(337.70, 7.26, 322.46) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 10.33357
(337.70, 7.26, 322.46) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 10.21133
(337.70, 7.26, 322.46) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 10.10366
(337.70, 7.26, 322.46) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 10.08886
(337.70, 7.26, 322.46) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 10.0756
(337.70, 7.26, 322.46) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 10.08187
(337.70, 7.26, 322.46) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 10.15693
(337.70, 7.26, 322.46) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 10.23466
(337.70, 7.26, 322.46) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 10.5005
(337.70, 7.26, 322.46) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 6.686246
(337.70, 7.26, 322.46) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 6.659237
(337.70, 7.26, 322.46) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 6.672868
(337.70, 7.26, 322.46) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 6.709871
(337.70, 7.26, 322.46) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 6.748297
(337.70, 7.26, 322.46) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 6.788187
(337.70, 7.26, 322.46) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 6.8733
(337.70, 7.26, 322.46) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 7.026655
(337.70, 7.26, 322.46) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 8.896669
(337.70, 7.26, 322.46) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 8.949128
(337.70, 7.26, 322.46) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 9.003563
(337.70, 7.26, 322.46) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 9.09602
(337.70, 7.26, 322.46) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 9.316529
(337.70, 7.26, 322.46) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 11.62165
(337.70, 7.26, 322.46) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 10.33243
(337.70, 7.26, 322.46) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 10.21022
(337.70, 7.26, 322.46) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 10.10201
(337.70, 7.26, 322.46) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 10.08721
(337.70, 7.26, 322.46) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 10.07395
(337.70, 7.26, 322.46) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 10.07969
(337.70, 7.26, 322.46) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 10.15472
(337.70, 7.26, 322.46) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 10.23242
(337.70, 7.26, 322.46) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 10.4965
(337.70, 7.26, 322.46) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 6.632964
(337.70, 7.26, 322.46) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 6.606153
é(337.70, 7.26, 322.46) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 6.63039
(337.70, 7.26, 322.46) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 6.666749
(337.70, 7.26, 322.46) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 6.704516
(337.70, 7.26, 322.46) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 6.743724
(337.70, 7.26, 322.46) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 6.843641
(337.70, 7.26, 322.46) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 6.995557
(337.70, 7.26, 322.46) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 8.858241
(337.70, 7.26, 322.46) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 8.91013
(337.70, 7.26, 322.46) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 8.963973
(337.70, 7.26, 322.46) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 9.066218
(337.70, 7.26, 322.46) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 9.285188
(337.70, 7.26, 322.46) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 11.54332
(337.70, 7.26, 322.46) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 10.33305
(337.70, 7.26, 322.46) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 10.21082
(337.70, 7.26, 322.46) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 10.10186
(337.70, 7.26, 322.46) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 10.08706
(337.70, 7.26, 322.46) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 10.0738
(337.70, 7.26, 322.46) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 10.0789
(337.70, 7.26, 322.46) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 10.15392
(337.70, 7.26, 322.46) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 10.2316
(337.70, 7.26, 322.46) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 10.49373
(337.70, 7.26, 322.46) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 15.94301
(337.70, 7.26, 322.46) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 6.581491
(337.70, 7.26, 322.46) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 6.554871
(337.70, 7.26, 322.46) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 6.589199
(337.70, 7.26, 322.46) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 6.624938
(337.70, 7.26, 322.46) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 6.662069
(337.70, 7.26, 322.46) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 6.700622
(337.70, 7.26, 322.46) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 6.814706
