¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¦(337.81, 7.34, 324.27) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.65585
(337.81, 7.34, 324.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.916648
(337.81, 7.34, 324.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.181289
(337.81, 7.34, 324.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.466725
(337.81, 7.34, 324.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.777001
(337.81, 7.34, 324.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.115445
(337.81, 7.34, 324.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.486012
(337.81, 7.34, 324.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.452959
(337.81, 7.34, 324.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.949408
(337.81, 7.34, 324.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.50537
(337.81, 7.34, 324.27) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 9.145275
(337.81, 7.34, 324.27) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 9.137123
(337.81, 7.34, 324.27) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 9.130347
(337.81, 7.34, 324.27) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 9.308156
(337.81, 7.34, 324.27) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 9.595121
(337.81, 7.34, 324.27) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 9.901869
(337.81, 7.34, 324.27) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 10.23045
(337.81, 7.34, 324.27) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 10.75628
(337.81, 7.34, 324.27) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 11.53817
(337.81, 7.34, 324.27) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 12.44465
(337.81, 7.34, 324.27) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 14.90739
