¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ó(334.62, 7.47, 359.45) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.60957
(334.62, 7.47, 359.45) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.58989
(334.62, 7.47, 359.45) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.5736
(334.62, 7.47, 359.45) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.5607
(334.62, 7.47, 359.45) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.55118
(334.62, 7.47, 359.45) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.54503
(334.62, 7.47, 359.45) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.54225
(334.62, 7.47, 359.45) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.54284
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.935012
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.132516
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.344595
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.579575
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.837732
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.118081
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.445893
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.812527
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.199175
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.614557
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.095645
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.621414
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.16036
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.76029
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.45659
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.24637
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.21677
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.38064
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.64767
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.01882
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.12568
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.16796
(334.62, 7.47, 359.45) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.58159
(334.62, 7.47, 359.45) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.55855
(334.62, 7.47, 359.45) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.53891
(334.62, 7.47, 359.45) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.52267
(334.62, 7.47, 359.45) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.5098
(334.62, 7.47, 359.45) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.50031
(334.62, 7.47, 359.45) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.49418
(334.62, 7.47, 359.45) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.49142
(334.62, 7.47, 359.45) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.492
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.934658
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.132136
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.344186
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.57883
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.836924
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.117201
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.446373
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.813058
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.200359
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.61587
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.098188
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.625152
İ(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.16434
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.76477
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.46133
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.25101
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.21877
