°# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ˆ(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.34756
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.77652
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.50188
(330.49, 7.53, 366.81) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.61993
(330.49, 7.53, 366.81) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.59584
(330.49, 7.53, 366.81) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.57442
(330.49, 7.53, 366.81) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.55567
(330.49, 7.53, 366.81) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.53959
(330.49, 7.53, 366.81) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.52614
(330.49, 7.53, 366.81) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.51532
(330.49, 7.53, 366.81) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.50713
(330.49, 7.53, 366.81) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.50156
(330.49, 7.53, 366.81) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.49861
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.597818
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.781291
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.978121
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.193849
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.43178
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.684827
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.959682
