¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ô(326.51, 7.70, 373.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 4.929384
(326.51, 7.70, 373.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 4.938401
(326.51, 7.70, 373.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 4.947618
(326.51, 7.70, 373.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 4.957612
(326.51, 7.70, 373.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 4.96839
(326.51, 7.70, 373.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 4.979959
(326.51, 7.70, 373.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 4.994973
(326.51, 7.70, 373.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.018123
(326.51, 7.70, 373.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.014135
(326.51, 7.70, 373.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.010901
(326.51, 7.70, 373.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.008419
(326.51, 7.70, 373.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.006686
(326.51, 7.70, 373.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.496153
(326.51, 7.70, 373.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.702781
(326.51, 7.70, 373.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.352987
(326.51, 7.70, 373.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.596445
(326.51, 7.70, 373.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.304705
(326.51, 7.70, 373.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.194921
(326.51, 7.70, 373.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.089793
(326.51, 7.70, 373.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 4.995332
(326.51, 7.70, 373.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 4.977369
(326.51, 7.70, 373.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 4.965872
(326.51, 7.70, 373.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 4.901692
(326.51, 7.70, 373.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 4.885629
(326.51, 7.70, 373.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 4.870396
(326.51, 7.70, 373.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 4.856024
(326.51, 7.70, 373.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 4.937372
(326.51, 7.70, 373.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 4.98164
(326.51, 7.70, 373.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 4.97753
(326.51, 7.70, 373.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 4.908177
(326.51, 7.70, 373.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 4.887944
(326.51, 7.70, 373.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 4.877203
(326.51, 7.70, 373.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 4.870618
(326.51, 7.70, 373.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 4.865429
(326.51, 7.70, 373.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 4.860976
(326.51, 7.70, 373.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 4.857255
(326.51, 7.70, 373.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 4.854265
(326.51, 7.70, 373.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 4.857028
