¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ë(336.07, 7.19, 370.83) (350.68, 0.49, 346.85) (1.16, 1.16, 6.53) Tools 13.31315
(336.07, 7.19, 370.83) (350.68, 0.49, 346.85) (1.16, 1.16, 6.53) Tools 13.44311
(336.07, 7.19, 370.83) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 9.954363
(336.07, 7.19, 370.83) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 10.09008
(336.07, 7.19, 370.83) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 10.40949
(336.07, 7.19, 370.83) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 10.74497
(336.07, 7.19, 370.83) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 10.73392
(336.07, 7.19, 370.83) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 10.72449
(336.07, 7.19, 370.83) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 10.33124
(336.07, 7.19, 370.83) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 9.880358
(336.07, 7.19, 370.83) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 12.43513
(336.07, 7.19, 370.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.939474
(336.07, 7.19, 370.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.146286
(336.07, 7.19, 370.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.800164
(336.07, 7.19, 370.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.056929
(336.07, 7.19, 370.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.335015
(336.07, 7.19, 370.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.637064
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.576445
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.457644
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.366904
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.344375
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.323071
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.302979
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.306372
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.349199
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.393645
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.439747
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.591351
(336.07, 7.19, 370.83) (350.68, 0.49, 346.85) (1.16, 1.16, 6.53) Tools 13.87179
(336.07, 7.19, 370.83) (350.68, 0.49, 346.85) (1.16, 1.16, 6.53) Tools 14.29907
(336.07, 7.19, 370.83) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 9.947581
(336.07, 7.19, 370.83) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 10.54054
(336.07, 7.19, 370.83) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 10.89021
(336.07, 7.19, 370.83) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 11.26562
(336.07, 7.19, 370.83) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 11.43718
(336.07, 7.19, 370.83) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 11.42705
(336.07, 7.19, 370.83) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 11.20311
(336.07, 7.19, 370.83) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 10.53759
(336.07, 7.19, 370.83) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 13.19312
(336.07, 7.19, 370.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.939867
(336.07, 7.19, 370.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.146707
(336.07, 7.19, 370.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.800673
(336.07, 7.19, 370.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.057466
