¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
í(339.79, 7.21, 367.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.73834
(339.79, 7.21, 367.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.17936
(339.79, 7.21, 367.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.37063
(339.79, 7.21, 367.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.56987
(339.79, 7.21, 367.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.77759
(339.79, 7.21, 367.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.99427
(339.79, 7.21, 367.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.28795
(339.79, 7.21, 367.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.56664
(339.79, 7.21, 367.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.8427
(339.79, 7.21, 367.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.04434
(339.79, 7.21, 367.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.24265
(339.79, 7.21, 367.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.44877
(339.79, 7.21, 367.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.66323
(339.79, 7.21, 367.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.41905
(339.79, 7.21, 367.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.0412
(339.79, 7.21, 367.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.803668
(339.79, 7.21, 367.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.002485
(339.79, 7.21, 367.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.216367
(339.79, 7.21, 367.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.447052
(339.79, 7.21, 367.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.154116
(339.79, 7.21, 367.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.443285
