¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ñ(354.75, 7.21, 353.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.46514
(354.75, 7.21, 353.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.52937
(354.75, 7.21, 353.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.59696
(354.75, 7.21, 353.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.66794
(354.75, 7.21, 353.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.74244
(354.75, 7.21, 353.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.82046
(354.75, 7.21, 353.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.238108
(354.75, 7.21, 353.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.311766
(354.75, 7.21, 353.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.388299
(354.75, 7.21, 353.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.474485
(354.75, 7.21, 353.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.601035
(354.75, 7.21, 353.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.734469
(354.75, 7.21, 353.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.900149
(354.75, 7.21, 353.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.078473
(354.75, 7.21, 353.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.082101
(354.75, 7.21, 353.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.190607
(354.75, 7.21, 353.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.49269
(354.75, 7.21, 353.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.826835
(354.75, 7.21, 353.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.198375
(354.75, 7.21, 353.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.613884
(354.75, 7.21, 353.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.076358
(354.75, 7.21, 353.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.589223
