¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
á(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.373438
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.595064
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.833711
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.091383
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.370423
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.673496
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.004957
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.369356
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.768778
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.975902
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.13722
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.71716
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.59194
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.78086
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.75735
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.04896
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.36009
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.974134
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.118124
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.273182
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.435095
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.601508
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.768613
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.946936
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.137535
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.341757
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.561076
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.797094
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.051859
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.327625
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.627015
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.948453
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.295441
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.687527
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.119919
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.291292
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.571123
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.39675
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.51188
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.32354
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.29154
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.60339
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.957898
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.100061
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.253346
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.414876
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.577562
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.743127
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.919772
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.108494
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.310682
á(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.527667
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.761213
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.0131
(406.27, 6.79, 366.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.285665
