¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
”(419.42, 8.38, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.28579
(419.42, 8.38, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.97682
(419.42, 8.38, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.09065
(419.42, 8.38, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.742727
(419.42, 8.38, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.963277
(419.42, 8.38, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.20995
(419.42, 8.38, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.47547
(419.42, 8.38, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.75061
(419.42, 8.38, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.055522
(419.42, 8.38, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.397653
(419.42, 8.38, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.74269
(419.42, 8.38, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.129868
(419.42, 8.38, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.562515
(419.42, 8.38, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.01577
(419.42, 8.38, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.55184
(419.42, 8.38, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.09559
(419.42, 8.38, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.73743
(419.42, 8.38, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.43173
(419.42, 8.38, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.21837
(419.42, 8.38, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.13945
(419.42, 8.38, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.14634
(419.42, 8.38, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.18977
(419.42, 8.38, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.05048
