¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
©(425.06, 9.47, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.35602
(425.06, 9.47, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.97192
(425.06, 9.47, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.39086
(425.06, 9.47, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.83636
(425.06, 9.47, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.31091
(425.06, 9.47, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.90412
(425.06, 9.47, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.54615
(425.06, 9.47, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.569351
(425.06, 9.47, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.7904
(425.06, 9.47, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.039834
(425.06, 9.47, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.309425
(425.06, 9.47, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.583245
(425.06, 9.47, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.871767
(425.06, 9.47, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.205106
(425.06, 9.47, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.58095
(425.06, 9.47, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.994285
(425.06, 9.47, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.405495
(425.06, 9.47, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.854953
(425.06, 9.47, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.35164
(425.06, 9.47, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.85847
(425.06, 9.47, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.43116
(425.06, 9.47, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.04983
(425.06, 9.47, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.12929
(425.06, 9.47, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.41625
(425.06, 9.47, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.71816
(425.06, 9.47, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.14254
(425.06, 9.47, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.76276
(425.06, 9.47, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.26154
(425.06, 9.47, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.69936
(425.06, 9.47, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.16546
(425.06, 9.47, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.66268
(425.06, 9.47, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.57466
(425.06, 9.47, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.56002
(425.06, 9.47, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.778998
(425.06, 9.47, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.027529
(425.06, 9.47, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.296106
(425.06, 9.47, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.572958
(425.06, 9.47, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.860641
(425.06, 9.47, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.190685
(425.06, 9.47, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.565126
(425.06, 9.47, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.976847
(425.06, 9.47, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.399859
(425.06, 9.47, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.843629
(425.06, 9.47, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.3482
(425.06, 9.47, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.85304
(425.06, 9.47, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.42513
(425.06, 9.47, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.0484
(425.06, 9.47, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.15721
(425.06, 9.47, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.44548
(425.06, 9.47, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.74876
(425.06, 9.47, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.0682
°(425.06, 9.47, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.53794
(425.06, 9.47, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.13613
(425.06, 9.47, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.56646
(425.06, 9.47, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.02443
(425.06, 9.47, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.51276
