¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¶(429.64, 10.64, 356.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.738163
(429.64, 10.64, 356.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.977332
(429.64, 10.64, 356.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.235245
(429.64, 10.64, 356.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.514111
(429.64, 10.64, 356.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.809537
(429.64, 10.64, 356.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.117283
(429.64, 10.64, 356.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.439712
(429.64, 10.64, 356.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.79014
(429.64, 10.64, 356.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.172329
(429.64, 10.64, 356.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.590767
(429.64, 10.64, 356.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.21326
(429.64, 10.64, 356.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.98084
(429.64, 10.64, 356.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.85041
(429.64, 10.64, 356.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.75204
(429.64, 10.64, 356.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.63154
(429.64, 10.64, 356.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.8629
(429.64, 10.64, 356.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.10312
(429.64, 10.64, 356.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.3527
(429.64, 10.64, 356.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.63832
(429.64, 10.64, 356.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.396972
(429.64, 10.64, 356.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.54985
(429.64, 10.64, 356.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.712454
(429.64, 10.64, 356.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.886836
(429.64, 10.64, 356.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.077121
(429.64, 10.64, 356.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.281123
(429.64, 10.64, 356.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.492585
(429.64, 10.64, 356.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.713331
(429.64, 10.64, 356.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.950597
(429.64, 10.64, 356.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.206419
(429.64, 10.64, 356.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.482921
(429.64, 10.64, 356.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.778381
(429.64, 10.64, 356.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.082247
(429.64, 10.64, 356.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.401682
(429.64, 10.64, 356.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.748757
(429.64, 10.64, 356.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.127216
(429.64, 10.64, 356.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.541332
(429.64, 10.64, 356.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.14661
(429.64, 10.64, 356.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.90619
(429.64, 10.64, 356.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.7463
(429.64, 10.64, 356.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.6447
(429.64, 10.64, 356.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.61392
