¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ˆ(430.29, 11.05, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.54612
(430.29, 11.05, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.31098
(430.29, 11.05, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.00562
(430.29, 11.05, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.622324
(430.29, 11.05, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.21239
(430.29, 11.05, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.8175
(430.29, 11.05, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.42033
(430.29, 11.05, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.04359
(430.29, 11.05, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.71238
(430.29, 11.05, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.4395
(430.29, 11.05, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.24745
(430.29, 11.05, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.10358
(430.29, 11.05, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.04811
(430.29, 11.05, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.1214
(430.29, 11.05, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.24913
(430.29, 11.05, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.92122
(430.29, 11.05, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.72032
(430.29, 11.05, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.07374
(430.29, 11.05, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.551356
(430.29, 11.05, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.16714
(430.29, 11.05, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.76651
(430.29, 11.05, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.34359
(430.29, 11.05, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.95794
(430.29, 11.05, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.63062
(430.29, 11.05, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.34788
(430.29, 11.05, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.13814
(430.29, 11.05, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.98985
(430.29, 11.05, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.9194
(430.29, 11.05, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.97127
(430.29, 11.05, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.62927
(430.29, 11.05, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.72249
(430.29, 11.05, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.4409
(430.29, 11.05, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.70629
(430.29, 11.05, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.480292
(430.29, 11.05, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.1215
(430.29, 11.05, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.71513
(430.29, 11.05, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.26734
(430.29, 11.05, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.8729
(430.29, 11.05, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.54929
(430.29, 11.05, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.2569
(430.29, 11.05, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.03002
(430.29, 11.05, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.87041
(430.29, 11.05, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.79219
(430.29, 11.05, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.82318
(430.29, 11.05, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.19178
(430.29, 11.05, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.5332
