¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
®(438.45, 13.93, 282.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.726326
(438.45, 13.93, 282.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.045179
(438.45, 13.93, 282.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.394239
(438.45, 13.93, 282.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.786293
(438.45, 13.93, 282.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.218172
(438.45, 13.93, 282.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.696266
(438.45, 13.93, 282.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.22826
(438.45, 13.93, 282.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.83472
(438.45, 13.93, 282.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.59568
(438.45, 13.93, 282.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.47359
(438.45, 13.93, 282.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.572
(438.45, 13.93, 282.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.97265
(438.45, 13.93, 282.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.81437
(438.45, 13.93, 282.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.52822
(438.45, 13.93, 282.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.99744
(438.45, 13.93, 282.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.251863
(438.45, 13.93, 282.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.457471
(438.45, 13.93, 282.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.675613
(438.45, 13.93, 282.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.908392
(438.45, 13.93, 282.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.159091
(438.45, 13.93, 282.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.429823
(438.45, 13.93, 282.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.723068
(438.45, 13.93, 282.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.041616
(438.45, 13.93, 282.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.388905
(438.45, 13.93, 282.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.779518
(438.45, 13.93, 282.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.210751
(438.45, 13.93, 282.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.68799
(438.45, 13.93, 282.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.21904
(438.45, 13.93, 282.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.81335
(438.45, 13.93, 282.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.56836
(438.45, 13.93, 282.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.44195
(438.45, 13.93, 282.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.54085
(438.45, 13.93, 282.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.94896
(438.45, 13.93, 282.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.79327
(438.45, 13.93, 282.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.91277
(438.45, 13.93, 282.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.97667
(438.45, 13.93, 282.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.251294
(438.45, 13.93, 282.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.456748
(438.45, 13.93, 282.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.673273
(438.45, 13.93, 282.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.905894
(438.45, 13.93, 282.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.156394
(438.45, 13.93, 282.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.426898
(438.45, 13.93, 282.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.719866
(438.45, 13.93, 282.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.038162
(438.45, 13.93, 282.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.385136
(438.45, 13.93, 282.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.772884
(438.45, 13.93, 282.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.203386
(438.45, 13.93, 282.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.679871
(438.45, 13.93, 282.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.20994
(438.45, 13.93, 282.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.80315
(438.45, 13.93, 282.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.54118
ª(438.45, 13.93, 282.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.41044
(438.45, 13.93, 282.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.50944
(438.45, 13.93, 282.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.91063
(438.45, 13.93, 282.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.77125
(438.45, 13.93, 282.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.30036
(438.45, 13.93, 282.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.95372
(438.45, 13.93, 282.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.250739
(438.45, 13.93, 282.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.454626
(438.45, 13.93, 282.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.670975
(438.45, 13.93, 282.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.903434
(438.45, 13.93, 282.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.153754
(438.45, 13.93, 282.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.424051
(438.45, 13.93, 282.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.716805
(438.45, 13.93, 282.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.034833
(438.45, 13.93, 282.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.381462
(438.45, 13.93, 282.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.766306
(438.45, 13.93, 282.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.196121
(438.45, 13.93, 282.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.671833
(438.45, 13.93, 282.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.201
(438.45, 13.93, 282.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.79311
(438.45, 13.93, 282.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.51404
(438.45, 13.93, 282.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.38398
(438.45, 13.93, 282.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.48104
(438.45, 13.93, 282.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.87206
(438.45, 13.93, 282.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.74833
(438.45, 13.93, 282.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.33042
(438.45, 13.93, 282.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.9282
(438.45, 13.93, 282.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.250238
(438.45, 13.93, 282.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.4526
(438.45, 13.93, 282.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.668799
(438.45, 13.93, 282.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.901073
(438.45, 13.93, 282.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.151187
(438.45, 13.93, 282.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.421296
(438.45, 13.93, 282.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.713778
(438.45, 13.93, 282.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.031545
(438.45, 13.93, 282.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.377904
(438.45, 13.93, 282.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.759848
(438.45, 13.93, 282.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.189039
(438.45, 13.93, 282.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.663887
(438.45, 13.93, 282.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.19213
(438.45, 13.93, 282.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.78321
(438.45, 13.93, 282.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.48699
(438.45, 13.93, 282.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.36452
(438.45, 13.93, 282.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.45798
(438.45, 13.93, 282.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.83325
