¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ş(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.323069
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.634301
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.971097
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.336681
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.85387
(433.80, 15.04, 249.07) (415.48, 7.58, 236.25) (1.97, 1.13, 1.76) Tools 10.19563
(433.80, 15.04, 249.07) (415.48, 7.58, 236.25) (1.97, 1.13, 1.76) Tools 10.17165
(433.80, 15.04, 249.07) (415.48, 7.58, 236.25) (1.97, 1.13, 1.76) Tools 10.1493
(433.80, 15.04, 249.07) (415.48, 7.58, 236.25) (1.97, 1.13, 1.76) Tools 10.12855
(433.80, 15.04, 249.07) (415.48, 7.58, 236.25) (1.97, 1.13, 1.76) Tools 10.10939
(433.80, 15.04, 249.07) (414.30, 9.12, 233.94) (1.88, 1.40, 1.43) Tools 11.34727
(433.80, 15.04, 249.07) (414.30, 9.12, 233.94) (1.88, 1.40, 1.43) Tools 11.33324
(433.80, 15.04, 249.07) (414.06, 9.12, 232.70) (1.88, 1.40, 1.43) Tools 13.1685
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.246293
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.458037
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.68569
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.931037
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.196201
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.48362
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.751109
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.017944
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.305065
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.614861
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.95005
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.313842
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.800855
(433.80, 15.04, 249.07) (415.48, 7.58, 236.25) (1.97, 1.13, 1.76) Tools 10.26508
(433.80, 15.04, 249.07) (415.48, 7.58, 236.25) (1.97, 1.13, 1.76) Tools 10.24093
(433.80, 15.04, 249.07) (415.48, 7.58, 236.25) (1.97, 1.13, 1.76) Tools 10.21842
(433.80, 15.04, 249.07) (415.48, 7.58, 236.25) (1.97, 1.13, 1.76) Tools 10.19753
(433.80, 15.04, 249.07) (415.48, 7.58, 236.25) (1.97, 1.13, 1.76) Tools 10.17823
(433.80, 15.04, 249.07) (414.30, 9.12, 233.94) (1.88, 1.40, 1.43) Tools 11.35888
(433.80, 15.04, 249.07) (414.30, 9.12, 233.94) (1.88, 1.40, 1.43) Tools 11.47526
(433.80, 15.04, 249.07) (414.06, 9.12, 232.70) (1.88, 1.40, 1.43) Tools 13.13491
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.248246
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.460144
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.687947
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.933481
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.198844
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.486486
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.740443
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.001541
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.28743
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.595827
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.929443
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.291458
(433.80, 15.04, 249.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.748295
