¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ç(413.90, 14.44, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.683801
(413.90, 14.44, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.2574
(413.90, 14.44, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.90498
(413.90, 14.44, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.64168
(413.90, 14.44, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.09023
(413.90, 14.44, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.80753
(413.90, 14.44, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.61745
(413.90, 14.44, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.76588
(413.90, 14.44, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.4334
(413.90, 14.44, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.24547
(413.90, 14.44, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.1463
(413.90, 14.44, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.41807
(413.90, 14.44, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.45885
(413.90, 14.44, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.50299
(413.90, 14.44, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.52573
(413.90, 14.44, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.51013
(413.90, 14.44, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.49775
(413.90, 14.44, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.53071
(413.90, 14.44, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 24.87523
(413.90, 14.44, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.84076
(413.90, 14.44, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.624655
(413.90, 14.44, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.238803
(413.90, 14.44, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.463878
(413.90, 14.44, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.706856
(413.90, 14.44, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.969846
(413.90, 14.44, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.255467
(413.90, 14.44, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.566668
(413.90, 14.44, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.906984
(413.90, 14.44, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.280643
(413.90, 14.44, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.692773
(413.90, 14.44, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.149496
(413.90, 14.44, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.658343
(413.90, 14.44, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.22878
(413.90, 14.44, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.87257
(413.90, 14.44, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.60466
(413.90, 14.44, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.16828
(413.90, 14.44, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.89532
(413.90, 14.44, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.76406
(413.90, 14.44, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.68769
(413.90, 14.44, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.34789
(413.90, 14.44, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.23181
(413.90, 14.44, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.01678
(413.90, 14.44, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.38524
(413.90, 14.44, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 22.57495
(413.90, 14.44, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 22.6247
(413.90, 14.44, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 22.67807
(413.90, 14.44, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 22.73509
(413.90, 14.44, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 22.79581
(413.90, 14.44, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.48464
(413.90, 14.44, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 23.09738
(413.90, 14.44, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 23.00065
·(413.90, 14.44, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.615771
(413.90, 14.44, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.812457
(413.90, 14.44, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.452889
(413.90, 14.44, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.694953
(413.90, 14.44, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.956966
(413.90, 14.44, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.241435
(413.90, 14.44, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.551369
(413.90, 14.44, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.890222
(413.90, 14.44, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.262198
(413.90, 14.44, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.672389
(413.90, 14.44, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.126822
(413.90, 14.44, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.633058
(413.90, 14.44, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.20033
(413.90, 14.44, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.84036
