¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
È(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.090876
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.366992
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.666658
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.993452
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.369503
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.784056
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.243248
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.730072
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.26607
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.85593
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.48774
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.19963
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.00759
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.91472
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.93279
(412.67, 14.26, 246.27) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 15.20966
(412.67, 14.26, 246.27) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 15.10007
(412.67, 14.26, 246.27) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 15.07638
(412.67, 14.26, 246.27) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 15.49465
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.32051
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.39583
(412.67, 14.26, 246.27) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 6.202973
(412.67, 14.26, 246.27) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 6.197822
(412.67, 14.26, 246.27) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 6.193602
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.59331
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.765854
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.950268
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.14783
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.359943
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.582708
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.822663
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.081806
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.35717
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.655989
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.981348
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.355298
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.768392
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.225857
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.7128
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.24682
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.8368
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.4663
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.17537
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.97996
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.87909
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.89168
(412.67, 14.26, 246.27) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 15.13454
(412.67, 14.26, 246.27) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 15.02692
(412.67, 14.26, 246.27) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 15.00341
(412.67, 14.26, 246.27) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 15.42
(412.67, 14.26, 246.27) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 19.01496
Ï(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.94011
(412.67, 14.26, 246.27) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 6.170407
(412.67, 14.26, 246.27) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 6.165308
(412.67, 14.26, 246.27) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 6.161138
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.587382
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.759488
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.943476
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.140536
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.351108
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.573177
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.812349
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.070723
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.347557
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.645538
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.969991
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.341335
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.75298
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.208792
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.695931
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.22802
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.81819
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.44543
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.15181
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.95319
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.84441
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.85176
(412.67, 14.26, 246.27) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 15.06248
(412.67, 14.26, 246.27) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 14.95672
(412.67, 14.26, 246.27) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 14.93337
(412.67, 14.26, 246.27) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 15.34831
(412.67, 14.26, 246.27) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 19.28249
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.98447
(412.67, 14.26, 246.27) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 6.139092
(412.67, 14.26, 246.27) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 6.134046
(412.67, 14.26, 246.27) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 6.129921
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.581518
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.753229
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.936771
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.133377
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.342383
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.563774
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.802262
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.059793
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.338154
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.635331
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.958857
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.327641
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.737858
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.191995
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.679441
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.20961
Õ(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.80016
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.42521
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.12897
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.92714
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.81623
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.81303
(412.67, 14.26, 246.27) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 14.99341
(412.67, 14.26, 246.27) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 14.88938
(412.67, 14.26, 246.27) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 14.8662
(412.67, 14.26, 246.27) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 15.27953
(412.67, 14.26, 246.27) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 18.90729
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.85824
(412.67, 14.26, 246.27) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 6.109002
(412.67, 14.26, 246.27) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 6.104004
(412.67, 14.26, 246.27) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 6.099924
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.575731
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.747062
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.930191
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.126292
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.333836
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.554574
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.792322
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.049066
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.32712
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.625357
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.947968
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.314191
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.722992
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.175517
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.663328
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.19166
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.78264
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.40555
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.10682
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.90198
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.7916
(412.67, 14.26, 246.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.77548
(412.67, 14.26, 246.27) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 14.92728
(412.67, 14.26, 246.27) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 14.82487
(412.67, 14.26, 246.27) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 14.80183
(412.67, 14.26, 246.27) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 15.2136
