¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ä(410.37, 14.29, 246.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.98951
(410.37, 14.29, 246.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.47661
(410.37, 14.29, 246.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.02267
(410.37, 14.29, 246.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 13.40446
(410.37, 14.29, 246.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 13.40012
(410.37, 14.29, 246.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 13.39459
(410.37, 14.29, 246.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 13.39107
(410.37, 14.29, 246.16) (386.21, 7.73, 244.74) (0.93, 1.64, 0.82) Tools 9.889563
(410.37, 14.29, 246.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 13.39002
(410.37, 14.29, 246.16) (386.21, 7.73, 244.74) (0.93, 1.64, 0.82) Tools 9.804292
(410.37, 14.29, 246.16) (386.21, 7.73, 244.74) (0.93, 1.64, 0.82) Tools 9.791411
(410.37, 14.29, 246.16) (386.21, 7.73, 244.74) (0.93, 1.64, 0.82) Tools 9.78002
(410.37, 14.29, 246.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 13.41195
(410.37, 14.29, 246.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 13.42245
(410.37, 14.29, 246.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 13.43498
(410.37, 14.29, 246.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 13.44954
(410.37, 14.29, 246.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 13.46615
(410.37, 14.29, 246.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 13.48481
(410.37, 14.29, 246.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 13.50554
(410.37, 14.29, 246.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 13.52836
(410.37, 14.29, 246.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.82062
(410.37, 14.29, 246.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.091685
(410.37, 14.29, 246.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.386331
(410.37, 14.29, 246.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.707711
(410.37, 14.29, 246.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.059593
(410.37, 14.29, 246.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.446462
(410.37, 14.29, 246.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.873749
(410.37, 14.29, 246.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.348004
(410.37, 14.29, 246.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.859713
(410.37, 14.29, 246.16) (386.21, 7.73, 244.74) (0.93, 1.64, 0.82) Tools 9.890593
(410.37, 14.29, 246.16) (386.21, 7.73, 244.74) (0.93, 1.64, 0.82) Tools 10.03077
(410.37, 14.29, 246.16) (386.21, 7.73, 244.74) (0.93, 1.64, 0.82) Tools 10.17651
(410.37, 14.29, 246.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.36246
(410.37, 14.29, 246.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.89715
(410.37, 14.29, 246.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.54873
(410.37, 14.29, 246.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 13.64127
(410.37, 14.29, 246.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 13.63603
(410.37, 14.29, 246.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 13.63282
(410.37, 14.29, 246.16) (386.21, 7.73, 244.74) (0.93, 1.64, 0.82) Tools 9.799795
(410.37, 14.29, 246.16) (386.21, 7.73, 244.74) (0.93, 1.64, 0.82) Tools 9.867347
(410.37, 14.29, 246.16) (386.21, 7.73, 244.74) (0.93, 1.64, 0.82) Tools 9.715317
(410.37, 14.29, 246.16) (386.21, 7.73, 244.74) (0.93, 1.64, 0.82) Tools 9.702561
(410.37, 14.29, 246.16) (386.21, 7.73, 244.74) (0.93, 1.64, 0.82) Tools 9.874722
(410.37, 14.29, 246.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 13.65637
(410.37, 14.29, 246.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 13.66746
(410.37, 14.29, 246.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 13.6806
(410.37, 14.29, 246.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 22.39799
(410.37, 14.29, 246.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.808238
(410.37, 14.29, 246.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.078205
(410.37, 14.29, 246.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.371667
(410.37, 14.29, 246.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.691681
Ü(410.37, 14.29, 246.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.042005
(410.37, 14.29, 246.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.427089
(410.37, 14.29, 246.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.852265
(410.37, 14.29, 246.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.324102
(410.37, 14.29, 246.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.811904
(410.37, 14.29, 246.16) (386.21, 7.73, 244.74) (0.93, 1.64, 0.82) Tools 9.817041
(410.37, 14.29, 246.16) (386.21, 7.73, 244.74) (0.93, 1.64, 0.82) Tools 9.954906
(410.37, 14.29, 246.16) (386.21, 7.73, 244.74) (0.93, 1.64, 0.82) Tools 10.09823
(410.37, 14.29, 246.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.27878
(410.37, 14.29, 246.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.77465
(410.37, 14.29, 246.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.33189
(410.37, 14.29, 246.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 13.91839
(410.37, 14.29, 246.16) (386.21, 7.73, 244.74) (0.93, 1.64, 0.82) Tools 10.12922
(410.37, 14.29, 246.16) (386.21, 7.73, 244.74) (0.93, 1.64, 0.82) Tools 10.10979
(410.37, 14.29, 246.16) (386.21, 7.73, 244.74) (0.93, 1.64, 0.82) Tools 10.09193
(410.37, 14.29, 246.16) (386.21, 7.73, 244.74) (0.93, 1.64, 0.82) Tools 10.09264
(410.37, 14.29, 246.16) (386.21, 7.73, 244.74) (0.93, 1.64, 0.82) Tools 9.835358
(410.37, 14.29, 246.16) (386.21, 7.73, 244.74) (0.93, 1.64, 0.82) Tools 9.838046
(410.37, 14.29, 246.16) (386.21, 7.73, 244.74) (0.93, 1.64, 0.82) Tools 10.05296
(410.37, 14.29, 246.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 22.7137
(410.37, 14.29, 246.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.795763
(410.37, 14.29, 246.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.06468
(410.37, 14.29, 246.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.356944
(410.37, 14.29, 246.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.675598
(410.37, 14.29, 246.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.02435
(410.37, 14.29, 246.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.407616
(410.37, 14.29, 246.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.830706
(410.37, 14.29, 246.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.300118
(410.37, 14.29, 246.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.764992
(410.37, 14.29, 246.16) (386.21, 7.73, 244.74) (0.93, 1.64, 0.82) Tools 9.782865
(410.37, 14.29, 246.16) (386.21, 7.73, 244.74) (0.93, 1.64, 0.82) Tools 9.931252
(410.37, 14.29, 246.16) (386.21, 7.73, 244.74) (0.93, 1.64, 0.82) Tools 10.08574
(410.37, 14.29, 246.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.21611
(410.37, 14.29, 246.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.65508
(410.37, 14.29, 246.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.13849
(410.37, 14.29, 246.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 14.15252
(410.37, 14.29, 246.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 15.25686
(410.37, 14.29, 246.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 17.00136
(410.37, 14.29, 246.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 19.19953
(410.37, 14.29, 246.16) (386.21, 7.73, 244.74) (0.93, 1.64, 0.82) Tools 10.03179
(410.37, 14.29, 246.16) (386.21, 7.73, 244.74) (0.93, 1.64, 0.82) Tools 10.15126
(410.37, 14.29, 246.16) (386.21, 7.73, 244.74) (0.93, 1.64, 0.82) Tools 10.13795
(410.37, 14.29, 246.16) (386.21, 7.73, 244.74) (0.93, 1.64, 0.82) Tools 10.21319
