¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
á(397.74, 13.95, 247.68) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 7.591535
(397.74, 13.95, 247.68) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 7.784092
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.901534
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.40787
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.90973
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.46422
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.08002
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.72925
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.43277
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.21584
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.0009
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.88873
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.01138
(397.74, 13.95, 247.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.4031
(397.74, 13.95, 247.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 17.89599
(397.74, 13.95, 247.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 17.88786
(397.74, 13.95, 247.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 17.88241
(397.74, 13.95, 247.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 17.87963
(397.74, 13.95, 247.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 17.87953
