¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ß(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.15282
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.873691
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.084938
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.312871
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.559605
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.827448
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.119227
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.435488
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.773595
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.156999
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.581548
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.054155
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.442736
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.757469
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.15504
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.63364
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.16133
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.15334
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.12064
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.0958
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.07924
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.07176
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.06977
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.07249
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.91639
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.05535
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.96993
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.07148
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.07518
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.08041
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.08729
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.09584
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.861692
