¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
‹ (397.81, 14.26, 245.06) (389.65, 7.80, 264.86) (2.39, 0.49, 3.68) Tools 7.137028
(397.81, 14.26, 245.06) (389.65, 7.80, 264.86) (2.39, 0.49, 3.68) Tools 7.229186
(397.81, 14.26, 245.06) (389.55, 7.87, 266.51) (2.74, 0.76, 3.53) Tools 9.388789
(397.81, 14.26, 245.06) (389.55, 7.87, 266.51) (2.74, 0.76, 3.53) Tools 9.375654
(397.81, 14.26, 245.06) (389.55, 7.87, 266.51) (2.74, 0.76, 3.53) Tools 9.363953
(397.81, 14.26, 245.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.35247
(397.81, 14.26, 245.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.9319
(397.81, 14.26, 245.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.24499
(397.81, 14.26, 245.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.32903
(397.81, 14.26, 245.06) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 4.708342
(397.81, 14.26, 245.06) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 4.596005
(397.81, 14.26, 245.06) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 4.573994
(397.81, 14.26, 245.06) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 4.552869
(397.81, 14.26, 245.06) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 4.532612
(397.81, 14.26, 245.06) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 4.513204
(397.81, 14.26, 245.06) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 4.49463
(397.81, 14.26, 245.06) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 4.476874
(397.81, 14.26, 245.06) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 4.459921
(397.81, 14.26, 245.06) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 4.910492
(397.81, 14.26, 245.06) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 4.915996
(397.81, 14.26, 245.06) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 4.947399
(397.81, 14.26, 245.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.827531
(397.81, 14.26, 245.06) (389.41, 7.25, 265.86) (0.46, 0.64, 3.99) Tools 7.989058
(397.81, 14.26, 245.06) (389.41, 7.25, 265.86) (0.46, 0.64, 3.99) Tools 7.688538
(397.81, 14.26, 245.06) (389.41, 7.25, 265.86) (0.46, 0.64, 3.99) Tools 7.671901
(397.81, 14.26, 245.06) (389.65, 7.80, 264.86) (2.39, 0.49, 3.68) Tools 6.26534
(397.81, 14.26, 245.06) (389.65, 7.80, 264.86) (2.39, 0.49, 3.68) Tools 6.251232
(397.81, 14.26, 245.06) (389.65, 7.80, 264.86) (2.39, 0.49, 3.68) Tools 6.238118
(397.81, 14.26, 245.06) (389.65, 7.80, 264.86) (2.39, 0.49, 3.68) Tools 6.225984
(397.81, 14.26, 245.06) (389.65, 7.80, 264.86) (2.39, 0.49, 3.68) Tools 6.214824
(397.81, 14.26, 245.06) (389.65, 7.80, 264.86) (2.39, 0.49, 3.68) Tools 7.239113
(397.81, 14.26, 245.06) (389.65, 7.80, 264.86) (2.39, 0.49, 3.68) Tools 7.456641
(397.81, 14.26, 245.06) (389.65, 7.80, 264.86) (2.39, 0.49, 3.68) Tools 7.557607
(397.81, 14.26, 245.06) (389.55, 7.87, 266.51) (2.74, 0.76, 3.53) Tools 9.719066
(397.81, 14.26, 245.06) (389.55, 7.87, 266.51) (2.74, 0.76, 3.53) Tools 9.7052
