¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Î(399.53, 14.06, 244.31) (372.38, 7.57, 252.37) (1.67, 1.29, 1.68) Tools 14.74286
(399.53, 14.06, 244.31) (372.38, 7.57, 252.37) (1.67, 1.29, 1.68) Tools 14.72488
(399.53, 14.06, 244.31) (372.38, 7.57, 252.37) (1.67, 1.29, 1.68) Tools 14.70914
(399.53, 14.06, 244.31) (372.38, 7.57, 252.37) (1.67, 1.29, 1.68) Tools 14.69562
(399.53, 14.06, 244.31) (372.38, 7.57, 252.37) (1.67, 1.29, 1.68) Tools 14.68432
(399.53, 14.06, 244.31) (372.38, 7.57, 252.37) (1.67, 1.29, 1.68) Tools 15.29496
(399.53, 14.06, 244.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.165751
(399.53, 14.06, 244.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.371527
(399.53, 14.06, 244.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.592507
(399.53, 14.06, 244.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.830424
(399.53, 14.06, 244.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.087286
(399.53, 14.06, 244.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.365328
(399.53, 14.06, 244.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.667273
(399.53, 14.06, 244.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.996275
(399.53, 14.06, 244.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.356085
(399.53, 14.06, 244.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.75116
(399.53, 14.06, 244.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.141685
(399.53, 14.06, 244.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.517313
(399.53, 14.06, 244.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.933208
(399.53, 14.06, 244.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.38872
(399.53, 14.06, 244.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.88975
(399.53, 14.06, 244.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.27987
(399.53, 14.06, 244.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.35173
(399.53, 14.06, 244.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.82051
(399.53, 14.06, 244.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.53687
(399.53, 14.06, 244.31) (372.38, 7.57, 252.37) (1.67, 1.29, 1.68) Tools 15.097
(399.53, 14.06, 244.31) (372.38, 7.57, 252.37) (1.67, 1.29, 1.68) Tools 15.07631
(399.53, 14.06, 244.31) (372.38, 7.57, 252.37) (1.67, 1.29, 1.68) Tools 15.05792
(399.53, 14.06, 244.31) (372.38, 7.57, 252.37) (1.67, 1.29, 1.68) Tools 15.04182
(399.53, 14.06, 244.31) (372.38, 7.57, 252.37) (1.67, 1.29, 1.68) Tools 15.028
(399.53, 14.06, 244.31) (372.38, 7.57, 252.37) (1.67, 1.29, 1.68) Tools 15.01643
(399.53, 14.06, 244.31) (372.38, 7.57, 252.37) (1.67, 1.29, 1.68) Tools 15.28512
(399.53, 14.06, 244.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.163092
(399.53, 14.06, 244.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.368697
(399.53, 14.06, 244.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.58945
(399.53, 14.06, 244.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.827134
(399.53, 14.06, 244.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.083727
(399.53, 14.06, 244.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.361457
(399.53, 14.06, 244.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.663043
