¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ä(395.98, 13.93, 247.88) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 6.510681
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.431672
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.807353
(395.98, 13.93, 247.88) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 8.937413
(395.98, 13.93, 247.88) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 8.912761
(395.98, 13.93, 247.88) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 8.889569
(395.98, 13.93, 247.88) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 9.917291
(395.98, 13.93, 247.88) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 9.992237
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.79786
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.41396
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.08649
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.83872
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.49551
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.12329
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.81031
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.60703
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.00697
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.35743
(395.98, 13.93, 247.88) (391.25, 9.05, 278.19) (1.16, 1.75, 0.90) Tools 21.05853
(395.98, 13.93, 247.88) (391.25, 9.05, 278.19) (1.16, 1.75, 0.90) Tools 21.19384
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.860368
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.043784
(395.98, 13.93, 247.88) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 6.228
(395.98, 13.93, 247.88) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 6.202609
(395.98, 13.93, 247.88) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 6.178343
(395.98, 13.93, 247.88) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 6.15518
(395.98, 13.93, 247.88) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 6.136714
(395.98, 13.93, 247.88) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 6.17095
(395.98, 13.93, 247.88) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 6.20714
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.098208
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.442947
(395.98, 13.93, 247.88) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 8.692685
(395.98, 13.93, 247.88) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 8.667432
