¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
(391.30, 13.82, 250.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.253859
(391.30, 13.82, 250.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.501301
(391.30, 13.82, 250.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.142449
(391.30, 13.82, 250.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.413889
(391.30, 13.82, 250.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.707981
(391.30, 13.82, 250.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.025175
(391.30, 13.82, 250.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.361661
(391.30, 13.82, 250.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.728936
(391.30, 13.82, 250.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.13134
(391.30, 13.82, 250.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.577567
(391.30, 13.82, 250.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.07688
(391.30, 13.82, 250.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.61954
(391.30, 13.82, 250.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.22573
(391.30, 13.82, 250.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.92955
(391.30, 13.82, 250.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.78596
(391.30, 13.82, 250.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.77705
(391.30, 13.82, 250.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.94371
(391.30, 13.82, 250.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.49088
(391.30, 13.82, 250.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.72681
(391.30, 13.82, 250.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.61828
(391.30, 13.82, 250.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.199884
(391.30, 13.82, 250.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.349879
(391.30, 13.82, 250.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.50796
(391.30, 13.82, 250.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.676543
(391.30, 13.82, 250.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.85667
(391.30, 13.82, 250.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.049164
(391.30, 13.82, 250.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.657694
(391.30, 13.82, 250.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.890932
(391.30, 13.82, 250.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.1422
(391.30, 13.82, 250.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.413623
(391.30, 13.82, 250.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.707691
