¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.27965
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.752604
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.305306
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.098
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.56524
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.7545
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.10261
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.4757
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.64096
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.21194
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.7946
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.3438
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.60224
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.21373
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.44834
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.42367
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.03591
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.01473
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.26595
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.28524
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.31357
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.874111
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.296252
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.771239
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.329609
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.974332
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.29116
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.92188
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.28164
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.66781
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.94809
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.29927
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.92066
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.4823
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.98946
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.80808
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.48277
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.45807
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.99181
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.35547
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.29896
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.31352
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.33657
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.887208
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.312312
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.789265
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.353103
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.976974
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.29399
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.63345
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.0429
³(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.10864
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.13463
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.38594
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.04682
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.6315
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.33853
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.57905
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.55158
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.5268
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.50471
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.19407
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.21825
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.24522
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.27501
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.30763
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.34311
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.86315
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.899843
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.327817
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.806678
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.375768
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.979922
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.29714
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.63682
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.07078
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.60093
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.04151
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.47181
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.14668
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.78219
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.22753
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.61909
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.59158
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.56677
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.54464
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.23776
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.46693
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.24954
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.03987
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.88538
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.98243
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.08089
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.912006
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.342765
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.823465
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.397594
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.983171
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.30061
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.64054
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.09879
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.63179
µ(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.1132
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.55697
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.22436
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.93301
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.27426
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.66193
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.63438
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.60953
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.58738
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.01461
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.85639
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.70533
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.74261
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.83541
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.93187
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.02715
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.63533
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.924119
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.357141
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.839613
