¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ñ(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.28762
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.25838
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.25771
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.0933
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.31378
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.29311
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.52587
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.51021
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.49719
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.42174
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.243552
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.699879
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.296432
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.37933
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.5082
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.6419
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.89208
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.24508
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.62342
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.21791
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.20219
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.72007
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.59653
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.50091
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.15133
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.38959
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.34274
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.32205
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.95617
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.93925
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.54406
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.261267
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.719695
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.250541
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.877941
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.54612
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.72173
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.06247
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.42733
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.312
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.81566
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.3237
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.85314
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.73741
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.63978
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.44734
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.42129
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.7072
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.01058
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.99079
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.26666
®(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.28867
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.278441
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.738915
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.275349
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.906346
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.24443
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.60822
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.23866
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.61611
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.83671
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.90096
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.43747
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.98688
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.85826
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.64717
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.48178
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.45569
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.86397
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.19384
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.39976
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.29721
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.31661
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.295064
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.757524
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.299348
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.933355
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.24804
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.57989
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.96517
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.83888
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.01852
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.9855
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.53847
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.12132
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.97902
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.57949
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.55062
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.52445
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.50097
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.17753
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.20024
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.22575
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.25405
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.28517
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.31914
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.61461
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.311127
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.775507
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.322521
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.941469
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.25194
¶(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.58407
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.99339
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.50712
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.20564
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.06933
