¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Õ(380.54, 14.82, 270.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.73928
(380.54, 14.82, 270.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.89004
(380.54, 14.82, 270.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.18889
(380.54, 14.82, 270.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.59126
(380.54, 14.82, 270.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.16579
(380.54, 14.82, 270.31) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.815
(380.54, 14.82, 270.31) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.37469
(380.54, 14.82, 270.31) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.34457
(380.54, 14.82, 270.31) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.31725
(380.54, 14.82, 270.31) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 16.99374
(380.54, 14.82, 270.31) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 16.83832
(380.54, 14.82, 270.31) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 16.69439
(380.54, 14.82, 270.31) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 16.55534
(380.54, 14.82, 270.31) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 16.42102
(380.54, 14.82, 270.31) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 16.49875
(380.54, 14.82, 270.31) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 16.58299
(380.54, 14.82, 270.31) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 16.66587
(380.54, 14.82, 270.31) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 16.7521
(380.54, 14.82, 270.31) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 16.84175
(380.54, 14.82, 270.31) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 16.93491
(380.54, 14.82, 270.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.682793
(380.54, 14.82, 270.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.964228
(380.54, 14.82, 270.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.221508
(380.54, 14.82, 270.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.49545
(380.54, 14.82, 270.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.940416
(380.54, 14.82, 270.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.35713
(380.54, 14.82, 270.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.51937
(380.54, 14.82, 270.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.79882
(380.54, 14.82, 270.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.95143
(380.54, 14.82, 270.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.26098
(380.54, 14.82, 270.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.65605
(380.54, 14.82, 270.31) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.86051
(380.54, 14.82, 270.31) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.86306
(380.54, 14.82, 270.31) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.42244
(380.54, 14.82, 270.31) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.39228
(380.54, 14.82, 270.31) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.14072
(380.54, 14.82, 270.31) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 16.97881
(380.54, 14.82, 270.31) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 16.82872
